ELECCIONES AL PARLAMENTO DE NAVARRA POR MESAS 1999;;;;;;;;;;;;;;;;;;;
97;ESTELLA / LIZARRA;2;4;A;489;159;330;0;330;13;317;126;63;12;19;68;25;2;2
97;ESTELLA / LIZARRA;2;4;B;570;216;354;6;348;11;337;132;76;16;26;45;36;3;3
97;ESTELLA / LIZARRA;2;4;C;489;166;323;1;322;13;309;108;72;19;26;54;28;1;1
97;ESTELLA / LIZARRA;2;5;A;533;165;368;4;364;7;357;188;52;22;24;30;37;0;4
97;ESTELLA / LIZARRA;2;5;B;552;171;381;2;379;6;373;211;53;16;22;41;29;1;0
97;ESTELLA / LIZARRA;2;6;A;516;138;378;4;374;9;365;214;50;20;10;30;38;0;3
97;ESTELLA / LIZARRA;2;6;B;555;150;405;1;404;6;398;225;60;20;19;43;28;1;2
97;ESTELLA / LIZARRA;2;6;C;551;176;375;4;371;4;367;206;57;12;20;25;42;0;5
97;ESTELLA / LIZARRA;2;7;A;403;127;276;1;275;4;271;122;39;6;14;60;28;1;1
97;ESTELLA / LIZARRA;2;7;B;404;123;281;2;279;7;272;131;43;13;23;45;13;3;1
97;ESTELLA / LIZARRA;3;1;U;707;262;445;3;442;9;433;173;84;13;40;71;51;0;1
98;ESTERIBAR;1;1;A;482;167;315;16;299;9;290;132;16;26;23;71;13;1;8
98;ESTERIBAR;1;1;B;462;143;319;5;314;11;303;135;31;37;17;57;23;1;2
98;ESTERIBAR;1;1;C;342;121;221;0;221;5;216;92;24;14;12;60;13;1;0
99;ETAYO;1;1;U;87;8;79;0;79;3;76;47;11;1;7;3;6;0;1
100;EULATE;1;1;U;339;153;186;2;184;4;180;128;15;4;6;17;8;0;2
101;EZCABARTE;1;1;A;518;233;285;5;280;4;276;116;34;33;24;60;9;0;0
101;EZCABARTE;1;1;B;460;160;300;1;299;15;284;116;18;26;14;85;23;1;1
102;EZKURRA;1;1;U;216;112;104;0;104;1;103;24;3;13;1;46;16;0;0
103;EZPROGUI;1;1;U;55;16;39;0;39;3;36;23;7;4;0;1;1;0;0
104;FALCES;1;1;A;519;113;406;9;397;10;387;165;143;14;20;28;6;0;11
104;FALCES;1;1;B;517;118;399;7;392;7;385;141;147;14;35;31;5;0;12
104;FALCES;2;1;A;642;182;460;4;456;9;447;204;134;16;33;44;8;0;8
104;FALCES;2;1;B;552;132;420;4;416;6;410;193;124;10;35;36;4;0;8
105;FITERO;1;1;U;759;92;667;3;664;8;656;406;221;6;7;14;0;0;2
105;FITERO;2;1;A;516;65;451;6;445;4;441;230;199;1;5;4;0;0;2
105;FITERO;2;1;B;525;83;442;6;436;4;432;287;133;3;5;3;1;0;0
106;FONTELLAS;1;1;U;577;84;493;2;491;11;480;226;118;6;11;12;4;0;103
107;FUNES;1;1;A;406;43;363;3;360;4;356;255;69;13;8;4;2;0;5
107;FUNES;1;1;B;370;54;316;3;313;6;307;208;80;5;12;0;0;0;2
107;FUNES;2;1;A;500;74;426;2;424;9;415;295;94;8;6;2;3;1;6
107;FUNES;2;1;B;474;77;397;5;392;4;388;281;77;12;10;4;1;1;2
108;FUSTI헤NA;1;1;A;521;94;427;4;423;13;410;252;122;8;17;7;2;2;0
108;FUSTI헤NA;1;1;B;471;97;374;2;372;12;360;200;124;2;18;9;5;1;1
108;FUSTI헤NA;2;1;A;533;115;418;3;415;12;403;218;153;6;9;11;1;2;3
108;FUSTI헤NA;2;1;B;407;72;335;5;330;7;323;158;137;7;8;9;0;1;3
109;GALAR;1;1;A;416;119;297;5;292;6;286;135;24;25;20;68;10;1;3
109;GALAR;1;1;B;560;199;361;1;360;9;351;131;38;70;38;56;5;1;12
110;GALLIPIENZO;1;1;U;161;72;89;0;89;4;85;36;31;7;1;9;0;0;1
111;GALLUES;1;1;U;114;31;83;0;83;3;80;34;9;11;7;15;3;0;1
112;GARAIOA;1;1;U;118;34;84;0;84;0;84;42;5;4;2;16;15;0;0
113;GARDE;1;1;U;191;87;104;0;104;2;102;41;28;10;4;14;5;0;0
114;GARINOAIN;1;1;U;279;63;216;3;213;1;212;91;43;21;23;19;9;3;3
115;GARRALDA;1;1;U;200;67;133;0;133;3;130;53;3;12;7;41;14;0;0
116;GENEVILLA;1;1;U;119;20;99;0;99;5;94;64;3;2;1;11;11;0;2
117;GOIZUETA;1;1;A;375;101;274;5;269;9;260;11;3;11;2;191;42;0;0
117;GOIZUETA;1;1;B;424;140;284;7;277;4;273;7;3;11;4;184;64;0;0
118;GO헬;1;1;U;186;76;110;2;108;1;107;45;7;15;15;24;0;0;1
119;GUESA;1;1;U;76;25;51;0;51;3;48;26;6;9;3;2;2;0;0
120;GUESALAZ;1;1;U;428;147;281;0;281;13;268;127;20;31;13;60;8;1;8
121;GUIRGUILLANO;1;1;U;79;16;63;1;62;4;58;22;5;14;8;6;2;0;1
122;HUARTE / UHARTE;1;1;A;588;164;424;6;418;11;407;111;42;92;22;96;43;0;1
122;HUARTE / UHARTE;1;1;B;585;168;417;3;414;5;409;144;46;79;15;84;37;2;2
122;HUARTE / UHARTE;1;2;A;573;182;391;2;389;15;374;84;39;88;27;99;35;1;1
122;HUARTE / UHARTE;1;2;B;556;195;361;1;360;5;355;125;37;61;21;89;22;0;0
123;UHARTE-ARAKIL;1;1;U;624;309;315;2;313;4;309;116;36;30;9;72;43;2;1
124;IBARGOITI;1;1;U;215;51;164;1;163;5;158;108;4;13;5;18;4;0;6
125;IGUZQUIZA;1;1;U;298;107;191;0;191;5;186;114;21;15;1;20;10;5;0
126;IMOTZ;1;1;U;370;115;255;0;255;2;253;60;18;13;4;108;50;0;0
127;IRA헨TA;1;1;U;129;35;94;0;94;3;91;45;5;8;3;17;10;0;3
128;ISABA / IZABA;1;1;U;468;116;352;1;351;12;339;137;46;16;37;80;19;1;3
129;ITUREN;1;1;U;384;62;322;4;318;4;314;33;4;11;1;124;141;0;0
130;ITURMENDI;1;1;U;316;105;211;1;210;3;207;118;12;12;0;47;13;2;3
131;IZA;1;1;A;227;75;152;2;150;7;143;65;8;9;19;29;11;0;2
131;IZA;1;1;B;379;139;240;6;234;7;227;112;35;28;12;32;8;0;0
132;IZAGAONDOA;1;1;U;152;47;105;2;103;7;96;53;6;6;4;24;1;0;2
133;IZALZU;1;1;U;46;11;35;0;35;0;35;7;7;1;2;11;7;0;0
134;JAURRIETA;1;1;U;244;100;144;0;144;2;142;68;14;14;6;38;1;0;1
135;JAVIER;1;1;U;115;115;0;0;0;0;0;0;0;0;0;0;0;0;0
136;JUSLAPE헤;1;1;A;179;77;102;2;100;2;98;42;10;6;3;33;3;0;1
136;JUSLAPE헤;1;1;B;235;116;119;0;119;7;112;44;6;8;8;35;8;0;3
137;LABAIEN;1;1;U;247;108;139;1;138;2;136;68;10;24;1;24;8;0;1
138;LAKUNTZA;1;1;U;826;119;707;2;705;23;682;126;52;31;20;305;147;0;1
139;LANA;1;1;U;199;94;105;0;105;1;104;69;7;8;6;10;4;0;0
140;LANTZ;1;1;U;112;36;76;0;76;2;74;33;1;16;2;13;8;0;1
141;LAPOBLACION;1;1;U;188;68;120;1;119;5;114;99;5;1;1;4;1;1;2
142;LARRAGA;1;1;A;603;213;390;2;388;5;383;163;76;39;34;63;3;1;4
142;LARRAGA;1;1;B;418;146;272;2;270;6;264;131;61;19;13;37;0;2;1
142;LARRAGA;1;1;C;559;208;351;2;349;11;338;129;95;38;19;48;5;3;1
143;LARRAONA;1;1;U;148;61;87;0;87;4;83;68;5;0;3;2;3;0;2
144;LARRAUN;1;1;A;304;71;233;0;233;4;229;59;3;27;5;71;64;0;0
144;LARRAUN;1;1;B;394;150;244;0;244;4;240;36;4;19;2;99;80;0;0
144;LARRAUN;1;1;C;325;56;269;7;262;3;259;59;3;19;0;121;57;0;0
145;LAZAGURRIA;1;1;U;207;65;142;2;140;2;138;102;24;7;1;0;2;0;2
146;LEACHE;1;1;U;48;12;36;0;36;0;36;25;2;6;1;2;0;0;0
147;LEGARDA;1;1;U;69;15;54;0;54;3;51;33;4;6;4;3;0;0;1
148;LEGARIA;1;1;U;121;46;75;1;74;1;73;42;14;5;3;5;2;2;0
149;LEITZA;1;1;A;615;147;468;6;462;8;454;93;13;15;8;205;120;0;0
149;LEITZA;1;1;B;611;147;464;5;459;8;451;96;15;22;2;210;106;0;0
149;LEITZA;1;2;A;647;168;479;5;474;5;469;82;11;20;8;268;77;3;0
149;LEITZA;1;2;B;650;194;456;7;449;5;444;100;9;20;9;174;130;1;1
150;LEOZ;1;1;U;246;59;187;1;186;7;179;48;27;23;11;48;7;2;13
151;LERGA;1;1;U;92;25;67;2;65;1;64;46;3;6;1;8;0;0;0
152;LERIN;1;1;A;362;135;227;1;226;3;223;108;41;32;20;19;2;1;0
152;LERIN;1;1;B;434;156;278;5;273;9;264;120;51;46;13;22;8;3;1
152;LERIN;2;1;A;458;176;282;2;280;13;267;105;71;34;33;18;5;0;1
152;LERIN;2;1;B;420;161;259;4;255;4;251;97;59;41;23;19;7;4;1
153;LESAKA;1;1;A;507;149;358;2;356;7;349;61;21;17;5;101;142;2;0
153;LESAKA;1;1;B;492;143;349;4;345;11;334;43;25;15;9;113;128;1;0
153;LESAKA;2;1;A;593;166;427;8;419;13;406;93;5;9;4;128;165;0;2
153;LESAKA;2;1;B;743;227;516;7;509;8;501;87;16;14;10;170;202;2;0
154;LEZAUN;1;1;U;255;118;137;5;132;7;125;73;9;7;6;22;6;1;1
155;LIEDENA;1;1;U;289;82;207;2;205;3;202;81;79;22;9;7;3;0;1
156;LIZOAIN;1;1;U;207;37;170;1;169;4;165;76;20;26;9;30;2;0;2
157;LODOSA;1;1;A;587;183;404;6;398;9;389;201;134;11;18;16;7;0;2
157;LODOSA;1;1;B;533;172;361;5;356;9;347;156;125;16;16;23;8;0;3
157;LODOSA;1;2;A;687;166;521;6;515;10;505;321;125;18;12;25;3;0;1
157;LODOSA;1;2;B;697;180;517;2;515;8;507;313;120;14;26;22;8;1;3
157;LODOSA;2;1;A;612;198;414;3;411;12;399;206;127;14;21;24;7;0;0
157;LODOSA;2;1;B;636;195;441;3;438;6;432;214;153;15;19;29;2;0;0
158;LONGUIDA;1;1;U;274;58;216;1;215;11;204;96;7;18;21;56;6;0;0
159;LUMBIER;1;1;A;654;110;544;11;533;8;525;218;41;122;17;103;13;9;2
159;LUMBIER;1;1;B;579;124;455;5;450;9;441;186;20;92;25;87;10;20;1
160;LUQUIN;1;1;U;117;29;88;0;88;3;85;50;12;2;7;9;0;4;1
161;MA헨RU;1;1;U;308;118;190;0;190;3;187;68;47;4;11;34;7;14;2
162;MARA헲N;1;1;U;70;25;45;1;44;2;42;22;12;3;0;5;0;0;0
163;MARCILLA;1;1;U;838;218;620;3;617;8;609;268;166;13;141;6;3;0;12
163;MARCILLA;2;1;A;587;128;459;3;456;3;453;153;129;7;137;7;6;0;14
163;MARCILLA;2;1;B;597;121;476;3;473;7;466;171;145;14;110;7;7;0;12
164;MELIDA;1;1;A;412;78;334;2;332;7;325;162;142;5;8;4;2;0;2
164;MELIDA;1;1;B;330;55;275;8;267;3;264;130;117;6;6;4;0;1;0
165;MENDAVIA;1;1;B;390;90;300;6;294;4;290;136;105;4;33;7;3;0;2
165;MENDAVIA;1;1;A;490;123;367;5;362;18;344;143;124;11;48;11;2;1;4
165;MENDAVIA;1;1;C;547;127;420;8;412;9;403;188;147;6;50;10;2;0;0
165;MENDAVIA;2;1;A;541;115;426;1;425;19;406;180;156;9;38;13;5;0;5
165;MENDAVIA;2;1;B;471;116;355;6;349;12;337;189;99;12;26;9;1;0;1
165;MENDAVIA;2;1;C;593;128;465;5;460;17;443;222;137;15;49;11;7;0;2
166;MENDAZA;1;1;U;343;168;175;0;175;2;173;113;26;9;11;11;1;2;0
167;MENDIGORRIA;1;1;U;764;136;628;4;624;19;605;309;70;35;72;106;9;4;0
168;METAUTEN;1;1;U;283;104;179;3;176;3;173;85;26;11;13;22;13;1;2
169;MILAGRO;1;1;A;437;93;344;2;342;3;339;177;147;3;8;1;2;0;1
169;MILAGRO;1;1;B;351;351;0;0;0;0;0;0;0;0;0;0;0;0;0
169;MILAGRO;2;1;A;611;73;538;4;534;3;531;251;248;8;15;7;0;1;1
169;MILAGRO;2;1;B;739;111;628;0;628;8;620;290;309;7;13;1;0;0;0
170;MIRAFUENTES;1;1;U;51;11;40;1;39;1;38;16;3;12;0;6;1;0;0
171;MIRANDA DE ARGA;1;1;A;433;56;377;6;371;14;357;112;175;22;21;18;8;0;1
171;MIRANDA DE ARGA;1;1;B;428;75;353;5;348;7;341;123;151;14;26;21;4;1;1
172;MONREAL;1;1;U;250;72;178;0;178;9;169;105;19;27;3;9;5;0;1
173;MONTEAGUDO;1;1;A;407;35;372;2;370;3;367;203;139;4;18;3;0;0;0
173;MONTEAGUDO;1;1;B;592;51;541;9;532;10;522;282;212;9;13;5;0;0;1
174;MORENTIN;1;1;U;108;52;56;0;56;2;54;36;9;1;3;4;0;0;1
175;MUES;1;1;U;113;35;78;1;77;2;75;44;12;9;1;4;4;0;1
176;MURCHANTE;1;1;A;816;214;602;6;596;12;584;291;227;10;30;15;7;0;4
176;MURCHANTE;1;1;B;810;214;596;10;586;13;573;295;212;16;29;13;2;0;6
176;MURCHANTE;2;1;U;903;236;667;15;652;17;635;337;226;22;26;15;0;1;8
177;MURIETA;1;1;U;250;97;153;0;153;3;150;77;20;14;10;22;6;1;0
178;MURILLO EL CUENDE;1;1;A;72;23;49;0;49;0;49;25;21;1;1;0;1;0;0
178;MURILLO EL CUENDE;1;1;B;424;111;313;3;310;9;301;140;81;4;7;7;3;0;59
178;MURILLO EL CUENDE;1;1;C;67;9;58;1;57;2;55;44;6;2;0;3;0;0;0
179;MURILLO EL FRUTO;1;1;U;667;102;565;8;557;17;540;265;218;18;13;20;4;0;2
180;MURUZABAL;1;1;U;217;60;157;0;157;4;153;107;9;7;10;17;1;0;2
181;NAVASCUES;1;1;U;200;52;148;2;146;5;141;63;15;14;9;38;2;0;0
182;NAZAR;1;1;U;52;20;32;0;32;0;32;14;6;0;5;3;3;0;1
183;OBANOS;1;1;U;614;89;525;1;524;11;513;275;68;23;46;58;37;3;3
184;OCO;1;1;U;78;29;49;0;49;0;49;34;0;3;2;8;2;0;0
185;OCHAGAVIA;1;1;U;626;101;525;5;520;15;505;260;25;47;36;113;22;1;1
186;ODIETA;1;1;U;268;120;148;1;147;4;143;57;7;15;6;47;10;0;1
187;OITZ;1;1;U;126;45;81;2;79;1;78;12;3;9;0;25;27;2;0
188;OLAIBAR;1;1;U;148;59;89;1;88;4;84;38;9;14;0;16;5;0;2
189;OLAZTI / OLAZAGUTIA;1;1;A;425;124;301;4;297;9;288;76;42;19;16;103;30;0;2
189;OLAZTI / OLAZAGUTIA;1;1;B;455;131;324;4;320;16;304;65;58;20;17;115;27;2;0
189;OLAZTI / OLAZAGUTIA;1;1;C;521;170;351;6;345;15;330;81;60;22;27;117;22;1;0
190;OLEJUA;1;1;U;50;17;33;0;33;1;32;23;1;2;1;2;1;0;2
191;OLITE;1;1;A;791;185;606;6;600;9;591;229;224;36;23;52;17;7;3
191;OLITE;1;1;B;756;196;560;3;557;9;548;202;211;44;25;39;21;5;1
191;OLITE;2;1;A;479;113;366;2;364;8;356;136;149;8;18;24;18;3;0
191;OLITE;2;1;B;519;144;375;2;373;4;369;161;139;21;16;17;14;1;0
192;OLORIZ;1;1;U;161;45;116;1;115;2;113;52;22;16;8;9;3;3;0
193;OLZA;1;1;A;270;60;210;7;203;14;189;76;20;23;10;56;2;2;0
193;OLZA;1;1;B;447;119;328;3;325;8;317;153;31;32;10;76;10;0;5
193;OLZA;1;1;C;376;88;288;3;285;11;274;133;29;25;18;56;8;0;5
194;OLLO;1;1;U;352;102;250;1;249;12;237;82;17;40;20;65;7;3;3
195;ORBAITZETA;1;1;U;211;73;138;1;137;4;133;50;2;12;0;53;16;0;0
196;ORBARA;1;1;U;56;11;45;0;45;2;43;13;5;6;2;16;1;0;0
197;ORISOAIN;1;1;U;87;37;50;0;50;2;48;27;12;4;1;1;3;0;0
198;ORONZ;1;1;U;47;15;32;0;32;1;31;7;5;7;2;9;0;1;0
199;OROZ-BETELU;1;1;U;213;78;135;5;130;3;127;52;25;7;2;33;8;0;0
200;OTEIZA;1;1;U;797;193;604;11;593;22;571;196;118;41;54;121;32;1;8
201;PAMPLONA / IRU헤;1;1;U;769;304;465;5;460;4;456;121;55;24;26;200;26;1;3
201;PAMPLONA / IRU헤;1;2;U;579;199;380;1;379;6;373;105;40;19;27;168;13;1;0
201;PAMPLONA / IRU헤;1;3;U;727;286;441;1;440;7;433;124;41;38;35;157;32;1;5
201;PAMPLONA / IRU헤;1;4;A;401;137;264;1;263;10;253;66;31;27;11;100;15;0;3
201;PAMPLONA / IRU헤;1;4;B;385;138;247;4;243;5;238;65;35;13;21;87;17;0;0
201;PAMPLONA / IRU헤;1;5;B;478;189;289;7;282;5;277;72;44;19;12;108;17;0;5
201;PAMPLONA / IRU헤;1;5;A;454;170;284;3;281;4;277;67;41;24;9;122;14;0;0
201;PAMPLONA / IRU헤;1;6;U;666;239;427;2;425;9;416;168;33;29;22;124;37;2;1
201;PAMPLONA / IRU헤;1;7;U;639;248;391;0;391;4;387;119;43;21;40;130;33;1;0
201;PAMPLONA / IRU헤;1;8;U;751;315;436;4;432;9;423;193;38;40;23;106;21;0;2
201;PAMPLONA / IRU헤;1;9;A;463;151;312;2;310;8;302;124;37;23;15;87;15;0;1
201;PAMPLONA / IRU헤;1;9;B;387;138;249;1;248;0;248;89;27;23;23;55;23;6;2
201;PAMPLONA / IRU헤;1;10;A;412;130;282;2;280;6;274;101;33;24;24;79;13;0;0
201;PAMPLONA / IRU헤;1;10;B;458;154;304;1;303;6;297;111;29;38;27;72;14;0;6
201;PAMPLONA / IRU헤;1;11;A;398;181;217;2;215;2;213;47;18;10;9;117;12;0;0
201;PAMPLONA / IRU헤;1;11;B;393;167;226;1;225;3;222;56;28;18;29;80;5;2;4
201;PAMPLONA / IRU헤;1;12;U;696;335;361;2;359;3;356;79;56;18;22;160;17;2;2
201;PAMPLONA / IRU헤;1;13;A;471;172;299;1;298;1;297;71;50;18;20;122;14;0;2
201;PAMPLONA / IRU헤;1;13;B;515;214;301;1;300;2;298;72;30;36;20;122;13;2;3
201;PAMPLONA / IRU헤;2;1;A;563;204;359;3;356;8;348;196;23;32;24;43;30;0;0
201;PAMPLONA / IRU헤;2;1;B;549;194;355;2;353;11;342;166;30;40;25;48;30;0;3
201;PAMPLONA / IRU헤;2;2;A;460;130;330;0;330;8;322;222;13;42;7;19;17;1;1
201;PAMPLONA / IRU헤;2;2;B;436;136;300;1;299;3;296;199;18;34;5;18;19;0;3
201;PAMPLONA / IRU헤;2;3;B;542;174;368;1;367;5;362;230;34;32;9;26;28;1;2
201;PAMPLONA / IRU헤;2;3;A;343;84;259;0;259;3;256;186;10;26;3;11;13;5;2
201;PAMPLONA / IRU헤;2;4;A;640;198;442;3;439;10;429;335;19;22;10;22;21;0;0
201;PAMPLONA / IRU헤;2;4;B;577;182;395;0;395;6;389;292;17;26;11;19;23;0;1
201;PAMPLONA / IRU헤;2;4;C;581;204;377;0;377;8;369;300;18;18;8;12;11;1;1
201;PAMPLONA / IRU헤;2;5;B;588;163;425;5;420;8;412;253;32;43;17;36;27;0;4
201;PAMPLONA / IRU헤;2;5;C;516;141;375;2;373;11;362;225;37;34;14;20;26;0;6
201;PAMPLONA / IRU헤;2;5;A;460;120;340;0;340;12;328;212;21;31;7;19;34;0;4
201;PAMPLONA / IRU헤;2;6;B;580;190;390;1;389;7;382;229;22;34;18;38;33;0;8
201;PAMPLONA / IRU헤;2;6;A;619;207;412;0;412;12;400;232;24;46;21;39;37;0;1
201;PAMPLONA / IRU헤;2;7;A;461;140;321;1;320;10;310;186;18;29;10;44;20;1;2
201;PAMPLONA / IRU헤;2;7;B;504;161;343;1;342;8;334;211;22;33;19;35;14;0;0
201;PAMPLONA / IRU헤;2;8;A;566;183;383;5;378;8;370;189;36;45;15;54;28;0;3
201;PAMPLONA / IRU헤;2;8;B;568;174;394;4;390;6;384;196;45;42;19;43;36;1;2
201;PAMPLONA / IRU헤;2;9;A;585;207;378;3;375;10;365;160;50;34;17;76;23;0;5
201;PAMPLONA / IRU헤;2;9;B;539;215;324;2;322;3;319;127;50;29;38;40;30;1;4
201;PAMPLONA / IRU헤;2;10;A;589;208;381;1;380;14;366;201;45;24;27;39;28;0;2
201;PAMPLONA / IRU헤;2;10;B;589;189;400;3;397;14;383;204;30;40;27;53;27;1;1
201;PAMPLONA / IRU헤;2;11;A;623;210;413;2;411;12;399;194;52;47;22;45;35;1;3
201;PAMPLONA / IRU헤;2;11;B;612;195;417;1;416;11;405;150;42;56;36;46;40;30;5
201;PAMPLONA / IRU헤;2;12;A;678;222;456;1;455;5;450;242;61;43;18;56;28;1;1
201;PAMPLONA / IRU헤;2;12;B;651;204;447;2;445;16;429;245;58;28;11;55;30;0;2
201;PAMPLONA / IRU헤;2;13;A;426;142;284;3;281;8;273;195;9;26;6;14;20;0;3
201;PAMPLONA / IRU헤;2;13;B;397;119;278;1;277;8;269;175;19;19;11;19;24;1;1
201;PAMPLONA / IRU헤;2;14;A;656;187;469;2;467;6;461;295;25;34;13;53;38;0;3
201;PAMPLONA / IRU헤;2;14;B;592;179;413;3;410;14;396;255;32;30;10;29;36;1;3
201;PAMPLONA / IRU헤;2;15;A;429;128;301;1;300;5;295;166;28;19;13;50;19;0;0
201;PAMPLONA / IRU헤;2;15;B;462;153;309;1;308;10;298;182;34;18;18;32;14;0;0
201;PAMPLONA / IRU헤;2;16;A;429;166;263;0;263;11;252;106;28;19;22;53;20;0;4
201;PAMPLONA / IRU헤;2;16;B;414;149;265;0;265;12;253;117;29;17;23;47;16;0;4
