CODIGO;MUNICIPIO;CENSO;ABSTENCION;VOTOS;NULOS;VALIDOS;BLANCOS;A_CANDID;UPN;PSOE;CDN;IUN_NEB;BATZARRE;EA_EAJ-PNV;EKA;PH;ARALAR
0;Total Navarra;464807;136198;328609;21292;307317;7304;300013;127460;65003;23516;26962;7873;22824;1017;1290;24068
1;Abáigar;76;20;56;0;56;2;54;27;7;4;3;1;5;0;0;7
2;Abárzuza;444;176;268;15;253;3;250;127;23;24;19;4;28;0;6;19
3;Abaurregaina/Abaurrea Alta;148;17;131;19;112;3;109;49;13;6;2;3;11;0;2;23
4;Abaurrepea/Abaurrea Baja;39;17;22;0;22;1;21;9;2;1;2;0;3;1;1;2
5;Aberin;293;67;226;8;218;12;206;103;45;5;26;0;7;0;4;16
6;Ablitas;1945;363;1582;34;1548;30;1518;827;435;51;129;25;16;21;1;13
7;Adiós;134;26;108;13;95;4;91;56;6;4;14;1;5;1;0;4
8;Aguilar de Codés;105;26;79;1;78;4;74;50;6;9;2;1;4;0;0;2
9;Aibar/Oibar;777;244;533;21;512;11;501;195;132;38;44;3;26;1;0;62
10;Altsasu/Alsasua;5870;1857;4013;596;3417;45;3372;934;762;142;395;42;492;3;14;588
11;Allín;671;250;421;6;415;13;402;219;55;38;40;10;19;0;6;15
12;Allo;891;177;714;8;706;22;684;312;187;44;74;17;25;0;3;22
13;Améscoa Baja;710;323;387;10;377;8;369;188;33;36;43;12;12;1;0;44
14;Ancín;252;90;162;13;149;4;145;93;18;6;8;2;12;0;0;6
15;Andosilla;2060;489;1571;29;1542;38;1504;693;540;118;53;9;34;8;3;46
16;Ansoáin;6943;2382;4561;402;4159;114;4045;766;1154;321;657;359;252;7;30;499
17;Anue;340;173;167;19;148;6;142;50;12;21;12;0;13;1;0;33
18;Añorbe;380;51;329;3;326;11;315;160;51;36;29;3;7;9;0;20
19;Aoiz/Agoitz;1617;332;1285;302;983;42;941;422;139;75;55;17;144;0;4;85
20;Araitz;523;217;306;128;178;3;175;49;2;18;3;6;36;0;0;61
21;Aranarache;81;19;62;4;58;1;57;21;14;2;3;5;6;0;0;6
22;Arantza;566;86;480;112;368;5;363;44;12;11;9;3;202;0;1;81
23;Aranguren;3325;755;2570;110;2460;101;2359;968;362;288;230;70;171;5;26;239
24;Arano;133;62;71;23;48;1;47;4;0;4;1;0;19;0;0;19
25;Arakil;731;233;498;49;449;13;436;184;50;36;27;10;43;5;4;77
26;Aras;208;20;188;9;179;4;175;73;53;31;7;0;4;1;0;6
27;Arbizu;760;173;587;234;353;8;345;51;8;30;11;7;150;0;0;88
28;Arce/Artzi;247;82;165;25;140;6;134;53;13;22;3;5;8;1;0;29
29;Los Arcos;1091;212;879;31;848;25;823;482;151;58;53;7;22;10;3;37
30;Arellano;175;34;141;3;138;0;138;36;21;17;15;4;17;3;0;25
31;Areso;258;9;249;51;198;4;194;19;6;78;3;45;26;0;0;17
32;Arguedas;1893;380;1513;23;1490;39;1451;868;432;41;47;25;8;6;4;20
33;Aria;58;23;35;5;30;0;30;10;5;8;2;0;3;0;0;2
34;Aribe;59;23;36;9;27;2;25;14;0;0;3;0;4;0;0;4
35;Armañanzas;81;23;58;1;57;1;56;30;15;3;3;0;3;1;0;1
36;Arróniz;973;236;737;45;692;9;683;277;202;30;80;41;22;2;1;28
37;Arruazu;92;26;66;8;58;1;57;13;0;1;3;0;29;0;0;11
38;Artajona;1411;293;1118;23;1095;48;1047;457;303;77;83;7;63;3;6;48
39;Artazu;91;20;71;2;69;1;68;22;13;7;7;5;2;0;0;12
40;Atez;199;32;167;20;147;8;139;51;17;21;12;1;12;0;1;24
41;Ayegui;909;308;601;23;578;19;559;230;90;51;60;9;51;8;5;55
42;Azagra;2786;498;2288;22;2266;32;2234;1029;1052;50;69;2;17;5;1;9
43;Azuelo;48;4;44;1;43;1;42;28;10;4;0;0;0;0;0;0
44;Bakaiku;300;65;235;87;148;0;148;31;10;17;3;1;50;0;0;36
45;Barásoain;406;91;315;13;302;19;283;108;54;63;31;10;10;0;1;6
46;Barbarin;87;20;67;2;65;4;61;50;6;2;1;1;0;1;0;0
47;Bargota;342;96;246;21;225;6;219;103;69;8;5;0;26;1;0;7
48;Barillas;174;33;141;0;141;0;141;113;13;4;5;2;2;0;1;1
49;Basaburua;590;159;431;140;291;6;285;120;15;25;4;5;46;0;0;70
50;Baztan;6396;1615;4781;451;4330;77;4253;1582;168;185;69;32;1858;1;4;354
51;Beire;248;77;171;13;158;3;155;80;52;8;9;0;0;0;0;6
52;Belascoáin;85;12;73;1;72;3;69;28;7;8;10;5;3;1;3;4
53;Berbinzana;616;130;486;21;465;6;459;215;131;24;36;10;14;1;2;26
54;Bertizarana;529;169;360;54;306;15;291;87;13;10;17;1;136;0;1;26
55;Betelu;283;77;206;25;181;9;172;29;11;15;1;0;35;1;1;79
56;Biurrun-Olcoz;178;59;119;10;109;4;105;43;17;21;15;2;0;0;0;7
57;Buñuel;1936;268;1668;19;1649;32;1617;914;610;40;20;11;12;4;1;5
58;Auritz/Burguete;270;59;211;8;203;12;191;86;6;18;13;7;39;1;0;21
59;Burgui/Burgi;207;59;148;19;129;5;124;39;14;48;5;3;5;2;0;8
60;Burlada/Burlata;13603;5153;8450;604;7846;186;7660;2476;1646;881;893;296;434;24;28;982
61;El Busto;87;18;69;0;69;2;67;35;14;15;0;0;2;0;0;1
62;Cabanillas;1160;167;993;11;982;22;960;405;457;20;49;13;5;4;3;4
63;Cabredo;101;22;79;0;79;1;78;48;18;3;1;1;5;0;0;2
64;Cadreita;1527;195;1332;20;1312;17;1295;607;530;43;49;10;24;2;1;29
65;Caparroso;1934;281;1653;49;1604;39;1565;846;516;37;37;10;19;2;2;96
66;Cárcar;1015;104;911;16;895;18;877;405;396;24;24;10;7;0;0;11
67;Carcastillo;2091;419;1672;26;1646;45;1601;745;510;100;132;10;46;3;4;51
68;Cascante;3053;596;2457;70;2387;81;2306;1076;906;59;108;103;15;9;6;24
69;Cáseda;890;145;745;44;701;9;692;354;182;46;59;7;19;1;2;22
70;Castejón;2660;566;2094;40;2054;39;2015;789;902;32;233;15;13;1;9;21
71;Castillo-Nuevo;19;4;15;0;15;0;15;5;6;1;2;0;0;0;0;1
72;Cintruénigo;4758;948;3810;30;3780;68;3712;2093;1357;43;132;29;24;5;7;22
73;Ziordia;328;124;204;99;105;3;102;40;19;5;1;0;15;0;0;22
74;Cirauqui;399;72;327;28;299;14;285;122;33;18;20;0;30;27;0;35
75;Ciriza;67;17;50;3;47;1;46;18;2;3;7;0;2;0;1;13
76;Cizur;1253;252;1001;49;952;32;920;468;101;118;75;18;67;4;8;61
77;Corella;5462;1063;4399;70;4329;73;4256;2812;1075;90;183;24;26;8;8;30
78;Cortes;2672;607;2065;75;1990;48;1942;865;836;40;101;29;35;2;6;28
79;Desojo;112;17;95;0;95;5;90;59;18;3;7;0;1;0;0;2
80;Dicastillo;573;158;415;18;397;8;389;191;91;27;43;3;14;4;0;16
81;Donamaria;325;61;264;19;245;8;237;63;12;3;2;2;106;1;1;47
82;Etxalar;661;176;485;96;389;13;376;79;8;12;6;1;222;1;0;47
83;Echarri;54;12;42;5;37;4;33;20;1;1;6;0;1;0;0;4
84;Etxarri-Aranatz;1905;649;1256;490;766;4;762;217;29;49;25;11;245;6;3;177
85;Etxauri;374;88;286;57;229;11;218;60;19;18;22;9;27;1;2;60
86;Egüés;2867;636;2231;76;2155;70;2085;1234;161;254;116;28;156;4;14;118
87;Elgorriaga;172;42;130;22;108;3;105;25;1;8;2;0;44;0;1;24
88;Noáin (Valle de Elorz)/Noain (Elortzibar);3216;1018;2198;103;2095;60;2035;991;323;207;223;38;82;9;8;154
89;Enériz;184;22;162;4;158;2;156;92;9;40;8;2;1;1;0;3
90;Eratsun;164;22;142;14;128;2;126;16;4;22;2;2;64;0;3;13
91;Ergoiena;412;49;363;79;284;6;278;42;20;26;8;8;64;9;0;101
92;Erro;654;217;437;59;378;11;367;152;29;65;19;10;44;0;1;47
93;Ezcároz/Ezkaroze;320;132;188;33;155;2;153;52;33;25;11;5;10;0;0;17
94;Eslava;148;39;109;5;104;3;101;58;18;9;2;1;5;0;1;7
95;Esparza de Salazar/Espartza Zaraitzu;100;24;76;11;65;2;63;19;20;3;4;2;5;0;1;9
96;Espronceda;153;30;123;8;115;2;113;70;20;7;5;2;5;0;2;2
97;Estella/Lizarra;10510;3177;7333;502;6831;128;6703;2922;1348;435;659;126;773;46;28;366
98;Esteribar;1248;394;854;75;779;53;726;323;80;67;57;15;97;1;2;84
99;Etayo;75;13;62;2;60;1;59;38;7;3;2;0;5;0;1;3
100;Eulate;322;124;198;7;191;3;188;121;22;7;17;1;7;0;1;12
101;Ezcabarte;1058;428;630;85;545;13;532;226;56;72;43;9;51;0;0;75
102;Ezkurra;193;101;92;15;77;2;75;22;5;10;5;0;22;0;0;11
103;Ezprogui;54;10;44;2;42;4;38;23;8;5;1;0;0;1;0;0
104;Falces;2121;543;1578;70;1508;28;1480;606;522;90;135;16;45;2;14;50
105;Fitero;1780;198;1582;23;1559;16;1543;851;614;35;29;5;4;1;0;4
106;Fontellas;582;90;492;6;486;14;472;259;145;22;19;19;4;0;0;4
107;Funes;1735;294;1441;13;1428;36;1392;983;311;53;26;3;8;1;3;4
108;Fustiñana;1944;288;1656;19;1637;21;1616;891;579;43;45;19;6;7;5;21
109;Galar;1080;267;813;94;719;18;701;259;99;121;76;21;37;1;11;76
110;Gallipienzo;141;40;101;3;98;5;93;43;27;9;5;2;0;0;1;6
111;Gallués/Galoze;112;29;83;6;77;1;76;30;7;10;8;1;13;0;0;7
112;Garaioa;118;31;87;2;85;1;84;36;9;15;4;0;12;0;0;8
113;Garde;172;69;103;3;100;0;100;39;17;25;4;0;7;0;0;8
114;Garínoain;342;75;267;12;255;9;246;103;46;32;27;6;9;2;6;15
115;Garralda;191;60;131;12;119;2;117;41;4;16;7;3;15;0;0;31
116;Genevilla;104;9;95;3;92;5;87;56;8;3;6;0;10;0;1;3
117;Goizueta;732;238;494;227;267;4;263;10;7;21;0;3;131;0;0;91
118;Goñi;188;71;117;4;113;3;110;32;10;23;12;1;11;0;0;21
119;Güesa/Gorza;69;19;50;3;47;3;44;23;3;4;3;2;6;0;0;3
120;Guesálaz;434;179;255;24;231;8;223;106;16;28;16;9;16;0;1;31
121;Guirguillano;82;24;58;2;56;6;50;21;4;9;9;0;1;2;0;4
122;Huarte/Uharte;2669;759;1910;227;1683;54;1629;564;198;233;153;77;201;10;8;185
123;Uharte-Arakil;633;192;441;62;379;5;374;147;51;43;10;3;64;2;3;51
124;Ibargoiti;204;62;142;4;138;7;131;85;4;15;9;3;5;0;0;10
125;Igúzquiza;286;112;174;8;166;13;153;91;16;15;4;3;11;4;1;8
126;Imotz;360;134;226;43;183;7;176;62;23;12;3;4;24;1;1;46
127;Irañeta;140;42;98;15;83;2;81;42;3;11;2;2;8;0;0;13
128;Isaba/Izaba;439;71;368;31;337;14;323;121;20;76;38;5;16;0;1;46
129;Ituren;386;75;311;59;252;2;250;30;6;10;3;3;151;1;0;46
130;Iturmendi;303;86;217;48;169;6;163;96;10;15;5;3;14;0;0;20
131;Iza;679;234;445;32;413;8;405;183;41;51;28;11;29;0;6;56
132;Izagaondoa;149;31;118;7;111;0;111;50;12;17;2;6;1;0;4;19
133;Izalzu/Itzaltzu;43;7;36;9;27;1;26;8;5;3;2;0;8;0;0;0
134;Jaurrieta;225;54;171;17;154;4;150;76;18;20;7;1;6;0;1;21
135;Javier;78;21;57;0;57;0;57;36;8;8;2;0;3;0;0;0
136;Juslapeña;392;126;266;35;231;8;223;70;24;40;22;3;20;4;2;38
137;Labaien;234;106;128;4;124;3;121;40;11;17;3;3;30;2;1;14
138;Lakuntza;847;178;669;209;460;16;444;90;51;22;22;0;175;1;0;83
139;Lana;188;73;115;3;112;2;110;68;6;9;10;0;11;0;0;6
140;Lantz;117;14;103;3;100;7;93;53;3;10;3;1;16;1;1;5
141;Lapoblación;164;34;130;4;126;5;121;96;8;3;3;2;7;0;1;1
142;Larraga;1534;522;1012;84;928;31;897;385;243;110;89;7;20;11;1;31
143;Larraona;137;50;87;1;86;2;84;58;7;11;2;1;2;0;0;3
144;Larraun;930;238;692;175;517;16;501;147;12;48;15;11;140;2;1;125
145;Lazagurría;187;39;148;2;146;8;138;79;43;13;1;0;0;0;0;2
146;Leache;45;11;34;0;34;2;32;20;2;5;2;0;1;0;0;2
147;Legarda;83;5;78;1;77;5;72;42;5;7;10;3;3;0;0;2
148;Legaria;111;23;88;0;88;4;84;37;21;15;5;1;2;2;0;1
149;Leitza;2477;639;1838;535;1303;23;1280;360;63;69;20;15;360;4;1;388
150;Leoz;244;54;190;19;171;10;161;54;27;21;9;12;7;0;0;31
151;Lerga;84;25;59;3;56;2;54;42;2;4;3;0;1;0;0;2
152;Lerín;1570;648;922;5;917;18;899;393;206;154;87;9;19;2;1;28
153;Lesaka;2255;548;1707;323;1384;27;1357;256;86;54;46;31;668;2;2;212
154;Lezáun;233;46;187;13;174;5;169;60;22;18;23;5;23;0;1;17
155;Liédena;289;69;220;4;216;9;207;77;67;37;14;4;0;1;1;6
156;Lizoáin;220;61;159;15;144;2;142;56;17;22;17;7;12;0;0;11
157;Lodosa;3722;943;2779;48;2731;48;2683;1422;841;71;158;24;50;3;9;105
158;Lónguida/Longida;264;47;217;20;197;8;189;89;9;18;19;5;14;0;1;34
159;Lumbier;1226;224;1002;83;919;19;900;323;53;244;37;119;25;29;2;68
160;Luquin;105;17;88;3;85;2;83;41;13;7;6;0;5;3;0;8
161;Mañeru;322;98;224;17;207;3;204;73;50;6;26;5;18;6;0;20
162;Marañón;58;20;38;0;38;4;34;21;9;1;0;0;1;0;0;2
163;Marcilla;2005;380;1625;19;1606;17;1589;663;460;32;398;4;22;1;3;6
164;Mélida;671;65;606;11;595;12;583;283;250;14;24;2;2;1;1;6
165;Mendavia;3036;664;2372;35;2337;111;2226;838;1040;55;212;9;38;0;5;29
166;Mendaza;311;117;194;2;192;9;183;103;20;24;15;1;10;0;1;9
167;Mendigorría;802;208;594;50;544;13;531;280;83;43;48;13;18;7;1;38
168;Metauten;264;67;197;10;187;7;180;91;27;14;13;1;18;1;0;15
169;Milagro;2104;300;1804;11;1793;24;1769;941;738;32;37;2;10;0;0;9
170;Mirafuentes;54;11;43;2;41;1;40;20;4;9;2;0;2;0;0;3
171;Miranda de Arga;835;172;663;12;651;12;639;186;281;44;70;10;21;2;2;23
172;Monreal;239;71;168;3;165;8;157;91;15;20;4;3;6;1;2;15
173;Monteagudo;984;88;896;11;885;10;875;463;352;17;32;4;2;0;2;3
174;Morentin;116;27;89;2;87;9;78;47;16;7;2;0;3;0;0;3
175;Mués;94;12;82;1;81;1;80;41;12;19;1;0;5;0;0;2
176;Murchante;2508;528;1980;26;1954;25;1929;1055;654;55;78;53;12;3;7;12
177;Murieta;227;38;189;10;179;7;172;93;24;15;13;10;8;0;1;8
178;Murillo el Cuende;561;106;455;8;447;17;430;253;124;22;13;7;5;0;3;3
179;Murillo el Fruto;627;140;487;13;474;16;458;238;156;22;21;3;11;0;1;6
180;Muruzábal;231;48;183;8;175;8;167;92;18;15;14;5;7;1;1;14
181;Navascués;178;67;111;19;92;0;92;41;11;16;5;0;2;0;1;16
182;Nazar;48;11;37;0;37;3;34;16;3;3;5;1;5;0;0;1
183;Obanos;643;85;558;34;524;16;508;250;73;48;49;8;44;4;0;32
184;Oco;70;14;56;4;52;0;52;28;2;5;8;0;8;0;0;1
185;Ochagavía/Otsagabia;573;66;507;64;443;11;432;239;35;45;20;8;36;0;3;46
186;Odieta;287;100;187;22;165;9;156;56;9;19;7;1;26;0;0;38
187;Oitz;122;52;70;12;58;2;56;13;0;1;5;0;34;0;0;3
188;Oláibar;141;38;103;2;101;4;97;32;7;13;8;5;16;0;0;16
189;Olazti/Olazagutía;1374;480;894;273;621;14;607;162;138;54;47;9;67;2;2;126
190;Olejua;49;6;43;3;40;2;38;22;6;8;0;1;0;0;0;1
191;Olite;2596;633;1963;44;1919;49;1870;786;684;66;121;13;95;22;7;76
192;Olóriz;159;43;116;3;113;4;109;42;13;14;19;3;7;3;2;6
193;Cendea de Olza/Oltza Zendea;1162;258;904;84;820;24;796;367;89;83;74;17;50;1;5;110
194;Ollo;323;70;253;18;235;8;227;71;28;37;18;2;11;6;2;52
195;Orbaitzeta;209;57;152;37;115;5;110;44;0;11;2;0;19;0;0;34
196;Orbara;56;16;40;6;34;1;33;10;8;3;5;1;0;0;0;6
197;Orísoain;71;18;53;0;53;2;51;26;13;5;5;0;0;0;0;2
198;Oronz;41;10;31;7;24;1;23;4;2;6;6;1;0;0;0;4
199;Oroz-Betelu;199;72;127;16;111;4;107;45;18;13;4;3;12;0;0;12
200;Oteiza;778;294;484;82;402;11;391;133;93;35;49;17;35;1;6;22
201;Pamplona/Iruña;149347;45848;103499;6163;97336;2166;95170;40248;15513;9074;10099;2709;7137;214;449;9727
202;Peralta;3946;901;3045;52;2993;57;2936;1390;743;173;468;11;26;7;59;59
203;Petilla de Aragón;34;10;24;0;24;0;24;9;10;2;0;0;1;1;0;1
204;Piedramillera;58;4;54;2;52;1;51;30;7;2;2;0;4;0;0;6
205;Pitillas;611;56;555;25;530;27;503;148;135;69;72;14;17;5;3;40
206;Puente la Reina/Gares;1935;289;1646;177;1469;37;1432;618;241;133;124;30;125;36;7;118
207;Pueyo;279;75;204;38;166;9;157;71;32;9;20;6;7;0;0;12
208;Ribaforada;2619;380;2239;39;2200;54;2146;812;908;24;355;23;14;1;3;6
209;Romanzado;141;30;111;8;103;6;97;56;12;6;5;5;4;0;2;7
210;Roncal/Erronkari;275;49;226;7;219;10;209;86;19;51;7;6;15;1;1;23
211;Orreaga/Roncesvalles;24;5;19;0;19;2;17;11;0;6;0;0;0;0;0;0
212;Sada;203;60;143;1;142;5;137;81;17;22;4;1;4;1;1;6
213;Saldias;118;31;87;17;70;3;67;8;1;19;0;3;27;0;0;9
214;Salinas de Oro;92;33;59;0;59;2;57;28;3;8;3;1;7;0;0;7
215;San Adrián;4475;918;3557;25;3532;52;3480;1700;1455;89;153;18;23;1;11;30
216;Sangüesa/Zangoza;3846;937;2909;115;2794;76;2718;1143;593;296;326;37;136;32;8;147
217;San Martín de Unx;412;59;353;12;341;20;321;165;81;20;24;2;14;0;0;15
219;Sansol;109;24;85;0;85;3;82;36;37;2;5;0;1;0;0;1
220;Santacara;865;216;649;13;636;25;611;300;214;42;28;2;4;0;3;18
221;Doneztebe/Santesteban;1076;206;870;57;813;28;785;227;44;48;20;8;340;0;1;97
222;Sarriés/Sartze;73;25;48;7;41;3;38;14;4;4;5;0;6;0;0;5
223;Sartaguda;1136;204;932;100;832;20;812;363;340;12;53;1;19;0;0;24
224;Sesma;1131;222;909;13;896;17;879;421;332;26;58;2;19;0;3;18
225;Sorlada;44;12;32;0;32;0;32;17;7;2;3;0;3;0;0;0
226;Sunbilla;576;149;427;58;369;2;367;65;18;13;1;1;229;0;3;37
227;Tafalla;8436;2075;6361;643;5718;143;5575;1942;1456;291;858;76;536;18;20;378
228;Tiebas-Muruarte de Reta;474;104;370;9;361;1;360;159;70;35;42;5;17;4;4;24
229;Tirapu;58;20;38;2;36;0;36;18;3;6;3;0;0;0;1;5
230;Torralba del Río;129;17;112;4;108;1;107;68;16;5;9;2;6;0;0;1
231;Torres del Río;156;7;149;0;149;0;149;72;45;16;5;0;3;4;0;4
232;Tudela;23254;6518;16736;286;16450;429;16021;8535;3841;730;1142;1182;206;82;46;257
233;Tulebras;99;16;83;2;81;4;77;42;18;3;5;2;6;0;0;1
234;Úcar;122;35;87;2;85;2;83;41;15;7;12;1;7;0;0;0
235;Ujué;212;71;141;10;131;2;129;59;32;11;14;3;7;0;0;3
236;Ultzama;1303;388;915;74;841;37;804;398;36;94;31;16;100;3;2;124
237;Unciti;193;58;135;3;132;0;132;64;23;18;11;0;6;1;3;6
238;Unzué;119;13;106;16;90;7;83;23;13;22;4;2;6;0;2;11
239;Urdazubi/Urdax;323;90;233;6;227;5;222;63;11;37;2;1;72;0;2;34
240;Urdiain;568;213;355;112;243;3;240;59;18;22;5;4;76;0;0;56
241;Urraúl Alto;161;35;126;7;119;3;116;74;8;4;5;9;7;0;1;8
242;Urraúl Bajo;271;75;196;13;183;3;180;91;21;10;11;9;8;2;0;28
243;Urroz-Villa;305;106;199;13;186;7;179;97;27;6;10;5;14;0;0;20
244;Urrotz;158;61;97;3;94;5;89;32;3;12;0;4;27;5;0;6
245;Urzainqui/Urzainki;100;20;80;5;75;4;71;22;2;31;0;6;4;0;0;6
246;Uterga;144;30;114;3;111;4;107;43;19;19;10;1;6;1;2;6
247;Uztárroz/Uztarroze;223;58;165;16;149;8;141;61;11;28;13;3;2;0;1;22
248;Luzaide/Valcarlos;365;139;226;14;212;3;209;91;23;21;12;2;26;1;0;33
249;Valtierra;2033;354;1679;21;1658;36;1622;487;853;177;75;12;11;0;2;5
250;Bera/Vera de Bidasoa;2907;1172;1735;329;1406;18;1388;331;120;75;83;32;499;2;6;240
251;Viana;2960;587;2373;81;2292;54;2238;846;972;110;82;12;127;38;3;48
252;Vidángoz/Bidankoze;103;37;66;4;62;3;59;21;2;16;1;1;4;0;0;14
253;Bidaurreta;103;20;83;3;80;4;76;18;10;6;8;3;6;0;2;23
254;Villafranca;2040;371;1669;40;1629;16;1613;679;712;54;121;10;12;0;3;22
255;Villamayor de Monjardín;96;16;80;1;79;7;72;38;5;16;7;0;4;0;2;0
256;Hiriberri/Villanueva de Aezkoa;129;56;73;16;57;0;57;13;1;19;4;1;7;1;1;10
257;Villatuerta;737;143;594;21;573;23;550;211;110;59;73;14;37;5;3;38
258;Villava/Atarrabia;7504;2321;5183;648;4535;103;4432;1454;663;416;500;195;539;17;31;617
259;Igantzi;505;114;391;43;348;7;341;84;22;30;8;8;136;1;0;52
260;Valle de Yerri/Deierri;1291;440;851;90;761;17;744;387;97;77;41;20;56;4;3;59
261;Yesa;246;34;212;3;209;7;202;106;54;18;4;2;8;0;3;7
262;Zabalza;138;34;104;3;101;1;100;44;5;17;10;9;9;0;1;5
263;Zubieta;256;110;146;57;89;1;88;10;5;6;1;2;40;0;0;24
264;Zugarramurdi;203;51;152;7;145;5;140;49;10;18;8;3;40;0;1;11
265;Zúñiga;98;7;91;4;87;1;86;32;5;23;9;0;8;0;2;7
901;Barañáin;16032;5199;10833;554;10279;288;9991;3565;2066;951;1284;351;653;27;43;1051
902;Berrioplano;1218;341;877;61;816;30;786;320;96;99;87;16;58;2;4;104
903;Berriozar;5644;1995;3649;484;3165;50;3115;823;852;380;363;205;95;6;17;374
904;Irurtzun;1592;525;1067;179;888;25;863;385;148;33;64;23;76;1;1;132
905;Beriáin;2243;708;1535;27;1508;28;1480;524;433;98;263;36;33;1;14;78
906;Orkoien;1327;337;990;43;947;38;909;238;199;60;267;24;30;2;9;80
907;Zizur Mayor/Zizur Nagusia;8674;2641;6033;302;5731;135;5596;2003;892;663;670;230;477;15;34;612
908;Lekunberri;689;184;505;59;446;11;435;121;24;50;39;10;126;0;0;65
999;C.E.R.A;12161;10586;1575;14;1561;7;1554;728;425;78;60;24;128;20;23;68
