Codcir,Codmun,Municipio,Censo,Certif. Alta,Censo Total,Votos Totales,Votos Nulos,Votos Blancos,Abstención,Votos Válidos,Votos Candidaturas,NA+,EH Bildu,I-E (n),PSN-PSOE,GBAI,SAIN,VOX,EQUO,RCN-NOK,Ln,PODEMOS
31,129,Ituren,383,0,383,268,1,0,115,267,267,18,129,0,19,95,0,1,0,0,0,5
31,130,Iturmendi,321,0,321,211,0,2,110,211,209,47,62,7,22,58,0,0,0,0,0,13
31,131,Iza / Itza,911,0,911,696,5,7,215,691,684,295,99,10,80,147,0,11,7,2,0,33
31,132,Izagaondoa,148,0,148,115,0,1,33,115,114,57,31,1,9,14,0,1,0,0,0,1
31,133,Izalzu / Itzaltzu,35,0,35,28,2,0,7,26,26,2,15,1,3,5,0,0,0,0,0,0
31,134,Jaurrieta,174,0,174,133,3,1,41,130,129,39,26,1,19,38,0,3,0,2,0,1
31,135,Javier,112,0,112,76,3,2,36,73,71,45,0,2,14,7,0,2,0,0,0,1
31,136,Juslapeña,454,0,454,338,1,3,116,337,334,69,104,11,42,72,1,7,3,3,0,22
31,138,Lakuntza,962,0,962,627,3,3,335,624,621,58,269,9,52,206,1,0,4,2,1,19
31,139,Lana,154,0,154,106,0,4,48,106,102,38,18,5,15,17,0,0,0,1,0,8
31,140,Lantz,112,0,112,83,1,1,29,82,81,25,13,1,11,29,0,0,0,0,0,2
31,141,Lapoblación,107,0,107,83,2,4,24,81,77,34,0,1,8,14,0,12,0,2,0,6
31,142,Larraga,1390,0,1390,1060,15,11,330,1045,1034,443,160,17,275,74,1,11,2,5,3,43
31,143,Larraona,93,0,93,53,2,0,40,51,51,21,7,0,9,12,0,1,0,0,1,0
31,144,Larraun,762,0,762,539,2,6,223,537,531,78,229,5,32,170,1,1,1,2,0,12
31,145,Lazagurría,161,0,161,123,0,2,38,123,121,83,0,4,21,12,0,0,0,0,0,1
31,146,Leache / Leatxe,29,0,29,25,0,1,4,25,24,14,4,1,2,2,0,0,1,0,0,0
31,147,Legarda,106,0,106,87,0,3,19,87,84,36,10,1,11,17,0,1,2,1,0,5
31,148,Legaria,92,0,92,69,2,3,23,67,64,14,7,1,26,11,0,1,0,0,0,4
31,149,Leitza,2273,0,2273,1716,14,4,557,1702,1698,182,939,15,56,488,0,6,0,1,1,10
31,908,Lekunberri,1066,0,1066,867,5,10,199,862,852,110,244,16,67,371,1,6,4,2,1,30
31,150,Leoz / Leotz,202,0,202,133,1,2,69,132,130,26,47,6,13,22,0,1,0,1,0,14
31,151,Lerga,56,0,56,44,0,0,12,44,44,15,4,0,7,14,0,0,0,1,0,3
31,152,Lerín,1269,0,1269,945,8,16,324,937,921,404,56,38,227,120,0,5,0,8,3,60
31,153,Lesaka,2177,0,2177,1654,6,10,523,1648,1638,133,576,20,78,766,0,9,1,2,0,53
31,154,Lezaun,213,0,213,120,1,6,93,119,113,24,36,5,4,41,0,0,0,0,0,3
31,155,Liédena,240,0,240,185,1,1,55,184,183,69,15,2,62,17,0,1,0,1,0,16
31,156,Lizoáin-Arriasgoiti,239,0,239,213,0,1,26,213,212,41,63,5,29,56,0,5,1,3,0,9
31,157,Lodosa,3473,0,3473,2437,12,41,1036,2425,2384,994,130,62,606,467,0,27,10,4,1,83
31,158,Lónguida / Longida,250,0,250,172,1,3,78,171,168,55,54,5,10,30,0,1,0,1,0,12
31,29,Los Arcos,915,0,915,690,8,6,225,682,676,295,56,18,156,100,0,4,4,4,0,39
31,159,Lumbier,1104,0,1104,932,11,7,172,921,914,350,196,37,78,208,1,5,0,4,2,33
31,160,Luquin,106,0,106,81,1,1,25,80,79,30,12,3,9,15,0,2,0,0,0,8
31,248,Luzaide / Valcarlos,271,0,271,148,4,2,123,144,142,37,36,5,24,36,0,1,0,0,0,3
31,161,Mañeru,344,0,344,266,3,4,78,263,259,56,53,7,57,63,0,0,1,0,2,20
31,162,Marañón,48,0,48,30,2,0,18,28,28,7,3,0,11,5,0,1,0,0,1,0
31,163,Marcilla,1994,0,1994,1518,16,10,476,1502,1492,720,30,20,526,89,2,19,8,5,3,70
31,164,Mélida,547,0,547,436,6,3,111,430,427,203,0,10,164,20,0,10,1,1,0,18
31,165,Mendavia,2760,0,2760,2056,13,17,704,2042,2025,833,92,75,755,127,2,45,7,4,2,83
31,166,Mendaza,247,1,248,186,0,2,62,186,184,105,15,4,30,27,0,2,0,0,0,1
31,167,Mendigorría,824,0,824,628,12,9,196,616,607,231,119,13,115,90,0,4,1,2,0,32
31,168,Metauten,241,0,241,196,2,2,45,194,192,93,34,1,21,35,0,3,0,0,1,4
31,169,Milagro,2202,0,2202,1684,14,20,518,1670,1650,756,18,42,709,62,0,23,0,1,1,38
31,170,Mirafuentes,45,0,45,35,2,2,10,33,31,5,12,0,4,7,0,0,1,1,0,1
31,171,Miranda de Arga,667,0,667,538,4,7,129,534,527,135,38,17,198,90,0,7,2,5,1,34
31,172,Monreal / Elo,366,0,366,304,7,3,62,297,294,130,39,11,43,40,0,3,5,5,0,18
31,173,Monteagudo,841,0,841,747,6,4,94,741,737,380,8,7,304,20,0,8,0,0,0,10
31,174,Morentin,106,0,106,68,0,1,38,68,67,27,14,0,10,6,0,0,3,1,1,5
31,175,Mues,65,0,65,45,0,0,20,45,45,19,2,2,8,9,0,0,0,0,1,4
31,176,Murchante,2927,0,2927,2089,22,33,838,2067,2034,860,46,37,854,86,1,37,4,13,0,96
31,177,Murieta,249,0,249,152,2,1,97,150,149,49,21,2,33,34,0,1,3,0,0,6
31,178,Murillo el Cuende,473,0,473,365,5,12,108,360,348,116,5,1,150,23,0,16,0,1,2,34
31,179,Murillo el Fruto,483,0,483,386,6,11,97,380,369,166,14,3,133,28,0,2,1,3,0,19
31,180,Muruzábal,199,0,199,139,0,1,60,139,138,55,18,10,16,28,2,0,1,1,0,7
31,181,Navascués / Nabaskoze,134,0,134,98,2,1,36,96,95,34,34,0,10,14,0,1,0,0,0,2
31,182,Nazar,30,0,30,28,0,2,2,28,26,13,4,0,1,7,0,0,0,0,0,1
31,88,Noáin (Valle de Elorz) / Noain (Elortzibar),5672,0,5672,3861,22,21,1811,3839,3818,1596,350,99,791,612,5,67,31,24,9,234
31,183,Obanos,713,0,713,564,12,7,149,552,545,233,66,14,65,131,0,7,1,4,0,24
31,185,Ochagavía / Otsagabia,467,0,467,371,8,7,96,363,356,122,106,2,28,86,0,2,1,0,3,6
31,184,Oco,66,0,66,44,0,1,22,44,43,17,18,0,1,7,0,0,0,0,0,0
31,186,Odieta,286,0,286,215,2,1,71,213,212,58,72,8,14,47,1,3,0,0,2,7
31,187,Oiz,101,0,101,60,2,0,41,58,58,3,17,0,4,31,0,1,0,0,0,2
31,188,Olaibar,296,0,296,187,1,1,109,186,185,58,39,7,18,52,1,4,1,0,0,5
31,189,Olazti / Olazagutía,1126,0,1126,717,11,7,409,706,699,84,274,14,101,188,0,7,2,1,1,27
31,190,Olejua,44,0,44,39,0,0,5,39,39,17,8,2,6,5,0,0,0,0,0,1
31,191,Olite / Erriberri,3024,0,3024,2275,23,22,749,2252,2230,850,148,70,623,348,3,33,9,5,3,138
31,192,Olóriz / Oloritz,158,0,158,121,1,1,37,120,119,39,18,4,13,23,0,0,3,1,0,18
31,195,Orbaizeta,171,0,171,122,0,0,49,122,122,15,55,1,7,38,0,1,0,0,0,5
31,196,Orbara,31,0,31,28,0,0,3,28,28,10,8,1,4,4,0,0,0,0,0,1
31,197,Orísoain,67,0,67,53,1,0,14,52,52,13,4,3,20,5,0,0,0,0,0,7
31,906,Orkoien,2688,0,2688,1912,12,25,776,1900,1875,603,290,72,381,308,3,45,11,10,4,148
31,198,Oronz / Orontze,37,0,37,30,0,1,7,30,29,4,16,2,0,5,0,0,0,0,0,2
31,199,Oroz-Betelu / Orotz-Betelu,140,0,140,96,3,1,44,93,92,22,27,0,8,31,0,0,0,1,0,3
31,211,Orreaga / Roncesvalles,17,0,17,15,0,1,2,15,14,10,0,0,1,2,0,0,0,0,0,1
31,200,Oteiza,742,0,742,568,7,10,174,561,551,144,129,19,145,87,0,1,1,3,0,22
31,201,Pamplona / Iruña,151106,2,151108,107787,409,584,43321,107367,106783,42469,14875,3238,18549,20330,215,1415,529,279,151,4733
31,202,Peralta / Azkoien,4345,0,4345,3106,25,30,1239,3081,3051,1579,113,181,692,253,3,35,12,10,6,167
31,203,Petilla de Aragón,30,0,30,20,0,1,10,20,19,9,0,0,5,3,0,1,0,0,0,1
31,204,Piedramillera,34,0,34,28,1,2,6,27,25,15,4,0,2,3,0,0,0,0,0,1
31,205,Pitillas,420,0,420,327,6,9,93,321,312,104,28,12,119,32,0,5,1,1,0,10
31,206,Puente la Reina / Gares,2078,0,2078,1627,15,15,451,1612,1597,533,373,26,226,308,3,16,10,17,2,83
31,207,Pueyo,285,0,285,200,4,1,85,196,195,47,61,4,29,41,0,0,0,0,1,12
31,208,Ribaforada,2564,0,2564,2015,21,11,549,1994,1983,645,18,86,866,186,1,26,7,6,5,137
31,209,Romanzado,148,0,148,118,0,0,30,118,118,30,29,4,10,28,0,3,0,0,0,14
31,210,Roncal / Erronkari,187,0,187,147,0,2,40,147,145,48,36,4,20,31,0,2,1,1,0,2
31,212,Sada,128,0,128,96,0,1,32,96,95,54,4,1,20,11,0,0,0,0,0,5
31,213,Saldías,100,0,100,70,2,0,30,68,68,2,35,1,2,26,0,0,0,0,0,2
31,214,Salinas de Oro / Jaitz,87,0,87,66,1,0,21,65,65,16,15,2,9,19,0,1,1,0,0,2
31,215,San Adrián,4671,0,4671,3275,30,27,1396,3245,3218,1367,38,45,1405,111,6,99,12,17,2,116
31,217,San Martín de Unx,334,0,334,245,3,2,89,242,240,103,40,3,47,29,0,6,3,0,0,9
31,216,Sangüesa / Zangoza,3868,0,3868,2724,12,28,1144,2712,2684,1005,310,83,512,535,3,23,6,45,6,156
31,219,Sansol,81,0,81,62,0,3,19,62,59,24,7,0,15,8,0,1,0,0,0,4
31,220,Santacara,742,0,742,559,4,5,183,555,550,297,17,7,163,42,0,5,2,4,1,12
31,222,Sarriés / Sartze,58,0,58,44,0,3,14,44,41,3,6,0,14,15,0,0,0,1,0,2
31,223,Sartaguda,956,0,956,752,14,9,204,738,729,257,157,15,207,55,1,3,1,4,0,29
31,224,Sesma,872,0,872,712,12,6,160,700,694,319,22,11,274,49,0,1,4,1,0,13
31,225,Sorlada,35,0,35,26,0,0,9,26,26,5,2,0,8,8,0,0,1,0,0,2
31,226,Sunbilla,573,0,573,388,6,3,185,382,379,30,173,0,22,144,0,1,1,0,0,8
31,227,Tafalla,8123,1,8124,5945,56,49,2179,5889,5840,1540,1332,208,1400,842,9,43,35,17,5,409
31,228,Tiebas-Muruarte de Reta,494,0,494,368,1,0,126,367,367,132,29,11,69,68,1,15,4,2,3,33
31,229,Tirapu,38,0,38,33,0,0,5,33,33,15,6,4,1,5,0,0,0,0,0,2
31,230,Torralba del Río,94,0,94,84,0,0,10,84,84,35,9,2,20,16,0,0,0,1,0,1
31,231,Torres del Río,105,0,105,75,0,1,30,75,74,39,6,0,20,2,0,0,2,0,1,4
31,232,Tudela,25604,0,25604,17362,123,132,8242,17247,17115,8694,516,1281,4240,915,5,464,91,39,11,859
31,233,Tulebras,94,0,94,76,0,0,18,76,76,50,0,1,17,3,0,2,0,2,0,1
31,234,Ucar,150,0,150,104,1,0,46,103,103,51,9,1,21,15,0,0,0,0,0,6
31,123,Uharte Arakil,619,0,619,357,3,6,262,354,348,68,125,4,32,99,1,1,0,0,0,18
31,235,Ujué / Uxue,157,0,157,122,4,1,35,118,117,28,32,4,26,24,0,0,0,0,0,3
31,236,Ultzama,1321,0,1321,979,9,10,342,970,960,304,246,9,89,267,1,11,7,0,0,26
31,237,Unciti,184,0,184,143,0,0,41,143,143,64,12,6,24,31,0,0,0,1,0,5
31,238,Unzué / Untzue,115,0,115,96,0,2,19,96,94,25,21,2,20,19,0,0,1,0,0,6
31,239,Urdazubi / Urdax,283,0,283,254,1,11,29,253,242,67,37,2,22,107,0,5,0,1,0,1
31,240,Urdiain,513,0,513,357,1,3,156,356,353,26,168,6,9,139,0,0,1,0,0,4
31,241,Urraul Alto,125,0,125,98,0,2,27,98,96,43,13,4,9,20,0,1,0,0,1,5
31,242,Urraul Bajo,267,0,267,167,1,3,100,166,163,64,30,3,18,34,1,1,3,0,1,8
31,244,Urroz,156,0,156,95,2,0,61,93,93,17,19,0,13,43,0,1,0,0,0,0
31,243,Urroz-Villa,304,0,304,212,4,2,92,208,206,61,55,9,24,45,1,1,1,1,0,8
31,245,Urzainqui / Urzainki,76,0,76,60,0,3,16,60,57,25,12,2,2,14,0,0,0,0,1,1
31,246,Uterga,128,0,128,97,2,0,31,95,95,31,11,5,20,24,0,2,0,0,0,2
31,247,Uztárroz / Uztarroze,144,0,144,114,2,0,30,112,112,31,39,2,8,29,0,0,0,0,1,2
31,86,Valle de Egüés / Eguesibar,13660,0,13660,10070,37,70,3590,10037,9967,3935,1230,378,1643,1907,16,152,58,46,8,594
31,194,Valle de Ollo / Ollaran,324,0,324,258,2,6,66,256,250,57,83,4,19,66,0,1,4,1,0,15
31,260,Valle de Yerri / Deierri,1249,0,1249,840,4,12,409,836,824,291,191,16,126,157,0,5,2,4,3,29
31,249,Valtierra,1819,0,1819,1407,14,9,412,1393,1384,544,24,54,633,74,0,6,2,5,0,42
31,251,Viana,3144,0,3144,2338,15,18,806,2323,2305,891,164,41,660,309,1,34,15,14,2,174
31,252,Vidángoz / Bidankoze,80,0,80,56,0,0,24,56,56,19,17,0,2,17,0,1,0,0,0,0
31,254,Villafranca,1915,0,1915,1508,6,8,407,1502,1494,704,72,26,511,84,0,10,7,4,29,47
31,255,Villamayor de Monjardín,103,0,103,79,0,1,24,79,78,37,7,3,16,8,0,1,0,0,0,6
31,257,Villatuerta,900,0,900,623,8,7,277,615,608,193,82,20,167,102,0,0,1,1,1,41
31,258,Villava / Atarrabia,7888,0,7888,5722,26,40,2166,5695,5655,1341,1498,194,893,1415,9,23,33,27,9,213
31,261,Yesa,239,0,239,184,1,3,55,183,180,87,10,4,44,18,0,7,2,1,0,7
31,262,Zabalza / Zabaltza,232,0,232,197,0,1,35,197,196,50,38,7,20,50,0,2,4,2,13,10
31,73,Ziordia,294,0,294,228,0,3,66,228,225,28,119,2,7,59,0,1,2,1,0,6
31,907,Zizur Mayor / Zizur Nagusia,11223,0,11223,8465,31,67,2758,8434,8367,2934,1161,230,1416,1944,10,107,46,41,14,464
31,263,Zubieta,232,0,232,158,1,3,74,157,154,6,97,1,5,44,0,0,0,0,0,1
31,264,Zugarramurdi,177,0,177,111,3,2,66,108,106,14,41,2,11,33,0,1,0,0,0,4
31,265,Zúñiga,77,0,77,52,0,1,25,52,51,10,9,1,5,17,0,2,0,0,0,7
31,990,Residentes Ausentes Navarra,1625,0,1625,1028,2,4,597,1026,1022,368,99,32,195,146,2,42,30,5,1,102
