Codcir;Codmun;Municipio;Mesa;Censo;Certif_alta;Certif_correc;Censo total;Votos_electores;Votos_interventores;Votos_totales;Votos_nulos;Votos_blancos;Geroa Bai;UPN;PSN;EH Bildu;UPyD;I-E;PP;Podemos;Ciudadanos;LN;Equo;PACMA;SAIn;RCN-NOK
31;1;Abáigar;1-001 -U;91;0;0;91;65;0;65;1;0;11;13;6;18;0;0;2;13;0;0;0;1;0;0
31;2;Abárzuza - Abartzuza;1-001 -U;423;0;0;423;265;0;265;1;10;51;84;10;37;0;2;17;43;5;0;1;2;0;2
31;3;Abaurregaina - Abaurrea Alta;1-001 -U;124;0;0;124;92;0;92;1;0;12;12;8;39;0;4;1;14;0;0;1;0;0;0
31;4;Abaurrepea - Abaurrea Baja;1-001 -U;36;0;0;36;25;0;25;1;1;9;10;0;3;0;0;0;1;0;0;0;0;0;0
31;5;Aberin;1-001 -U;304;0;0;304;189;0;189;2;10;15;53;17;31;1;9;9;28;9;0;0;4;0;1
31;6;Ablitas;1-001 -A;479;0;0;479;341;0;341;10;9;15;116;100;11;1;15;6;47;6;0;1;0;3;1
31;6;Ablitas;1-001 -B;466;0;0;466;329;0;329;6;10;16;108;107;11;0;15;15;32;7;0;0;0;1;1
31;6;Ablitas;2-001 -A;521;0;0;521;405;0;405;30;0;17;145;112;16;4;6;10;50;11;0;1;2;0;1
31;6;Ablitas;2-001 -B;488;0;0;488;374;0;374;8;17;14;144;106;4;4;7;11;50;6;2;0;1;0;0
31;7;Adiós;1-001 -U;136;0;0;136;94;0;94;7;0;11;32;6;13;2;5;4;9;3;0;0;1;0;1
31;8;Aguilar de Codés;1-001 -U;82;0;0;82;56;0;56;0;1;7;17;6;3;1;3;10;6;0;0;0;0;1;1
31;9;Aibar - Oibar;1-001 -A;357;0;0;357;276;0;276;4;10;54;68;29;50;0;12;4;37;4;0;1;0;0;3
31;9;Aibar - Oibar;1-001 -B;343;0;0;343;292;0;292;3;13;38;77;50;49;0;10;8;35;6;0;1;1;0;1
31;11;Allín - Allin;1-001 -A;202;0;0;202;157;0;157;4;1;25;26;3;22;3;7;8;45;9;0;2;1;1;0
31;11;Allín - Allin;1-001 -B;246;0;0;246;171;0;171;1;3;21;69;8;11;0;2;14;33;2;0;3;0;0;4
31;11;Allín - Allin;1-001 -C;241;0;0;241;158;0;158;1;6;27;45;8;31;2;3;8;19;1;0;3;0;2;2
31;12;Allo;1-001 -A;404;0;0;404;303;0;303;5;4;27;61;76;21;1;11;19;61;5;0;4;4;2;2
31;12;Allo;1-001 -B;412;0;0;412;315;0;315;5;15;26;74;55;34;3;14;26;52;8;0;0;1;1;1
31;10;Altsasu - Alsasua;1-001 -A;742;0;0;742;520;0;520;1;3;174;61;38;142;0;10;15;62;7;1;4;1;0;1
31;10;Altsasu - Alsasua;1-001 -B;729;0;0;729;509;0;509;7;2;172;62;43;140;0;8;18;47;4;3;2;0;0;1
31;10;Altsasu - Alsasua;1-002 -A;516;0;0;516;365;0;365;5;3;101;42;43;79;2;9;17;55;5;0;1;2;0;1
31;10;Altsasu - Alsasua;1-002 -B;592;0;0;592;407;0;407;6;5;136;38;52;80;0;16;17;48;0;3;2;1;2;1
31;10;Altsasu - Alsasua;2-001 -A;470;0;0;470;315;0;315;4;1;88;31;26;84;4;7;13;42;7;0;1;4;0;3
31;10;Altsasu - Alsasua;2-001 -B;459;0;0;459;309;0;309;4;2;92;31;28;63;2;7;11;61;5;0;0;3;0;0
31;10;Altsasu - Alsasua;2-002 -A;664;0;0;664;438;0;438;2;4;123;47;72;64;4;11;27;69;7;0;1;2;1;4
31;10;Altsasu - Alsasua;2-002 -B;662;0;0;662;435;0;435;7;2;101;51;88;59;1;12;16;89;4;1;3;1;0;0
31;10;Altsasu - Alsasua;2-003 -A;463;0;0;463;304;0;304;2;1;77;36;36;65;2;8;8;62;3;0;0;3;0;1
31;10;Altsasu - Alsasua;2-003 -B;439;0;0;439;282;0;282;3;5;66;35;39;49;2;8;18;47;5;0;3;0;0;2
31;13;Améscoa Baja;1-001 -A;364;0;0;364;256;0;256;2;7;33;53;13;65;2;4;10;56;3;1;2;2;0;3
31;13;Améscoa Baja;1-001 -B;300;0;0;300;171;0;171;2;2;34;46;12;31;0;4;3;25;8;1;1;1;1;0
31;14;Ancín - Antzin;1-001 -U;280;0;0;280;181;0;181;0;5;17;42;12;47;2;6;18;23;7;1;0;0;1;0
31;15;Andosilla;1-001 -U;716;0;0;716;517;0;517;7;13;33;205;105;52;1;15;27;36;12;2;1;4;0;4
31;15;Andosilla;2-001 -A;623;0;0;623;439;0;439;8;8;36;176;75;27;2;5;25;56;10;2;1;5;0;3
31;15;Andosilla;2-001 -B;658;0;0;658;492;0;492;9;8;35;188;118;37;3;19;20;42;4;0;1;3;1;4
31;16;Ansoáin - Antsoain;1-001 -A;589;0;0;589;406;0;406;2;5;80;32;67;91;3;24;12;78;5;0;2;3;1;1
31;16;Ansoáin - Antsoain;1-001 -B;613;0;0;613;409;0;409;5;7;90;31;82;66;4;21;7;76;8;2;0;6;2;2
31;16;Ansoáin - Antsoain;1-002 -A;714;0;0;714;530;0;530;10;5;96;52;71;118;3;29;12;114;9;0;4;3;1;3
31;16;Ansoáin - Antsoain;1-002 -B;783;0;0;783;565;0;565;4;2;85;59;98;114;0;38;11;137;10;0;1;3;0;3
31;16;Ansoáin - Antsoain;1-003 -A;617;0;0;617;450;0;450;3;8;91;45;60;85;4;26;8;103;8;3;0;3;0;3
31;16;Ansoáin - Antsoain;1-003 -B;648;0;0;648;478;0;478;4;4;106;57;56;87;3;24;8;98;15;2;7;5;0;2
31;16;Ansoáin - Antsoain;1-004 -A;598;0;0;598;408;0;408;6;1;82;31;79;78;1;31;10;78;4;0;2;1;0;4
31;16;Ansoáin - Antsoain;1-004 -B;579;0;0;579;398;0;398;4;3;66;30;93;70;0;26;8;89;5;0;1;0;1;2
31;16;Ansoáin - Antsoain;1-005 -A;524;0;0;524;388;0;388;2;5;66;32;51;95;0;31;6;77;8;1;3;6;0;5
31;16;Ansoáin - Antsoain;1-005 -B;526;0;0;526;405;0;405;4;5;66;34;54;72;2;27;5;105;20;1;4;2;0;4
31;16;Ansoáin - Antsoain;1-006 -A;687;0;0;687;506;0;506;3;8;101;67;67;95;3;32;4;95;17;2;5;4;2;1
31;16;Ansoáin - Antsoain;1-006 -B;713;0;0;713;524;0;524;5;10;119;75;57;90;3;21;11;97;18;1;9;4;0;4
31;17;Anue;1-001 -U;355;0;0;355;240;0;240;3;3;61;48;17;61;2;8;9;21;5;0;2;0;0;0
31;18;Añorbe;1-001 -U;411;0;0;411;342;0;342;1;12;66;84;35;46;4;7;9;58;11;1;0;4;0;4
31;19;Aoiz - Agoitz;1-001 -U;741;0;0;741;549;0;549;3;19;107;130;24;195;0;6;10;40;6;1;3;3;0;2
31;19;Aoiz - Agoitz;2-001 -A;565;0;0;565;427;0;427;5;8;66;93;24;170;0;6;6;42;2;0;3;2;0;0
31;19;Aoiz - Agoitz;2-001 -B;521;0;0;521;378;0;378;8;2;57;72;16;143;3;7;12;46;4;0;2;5;0;1
31;20;Araitz;1-001 -U;446;0;0;446;245;0;245;0;5;40;16;1;157;0;2;2;22;0;0;0;0;0;0
31;25;Arakil;1-001 -A;339;0;0;339;259;1;260;0;4;50;64;8;54;3;7;10;47;3;1;1;3;0;5
31;25;Arakil;1-001 -B;431;0;0;431;317;0;317;2;7;69;61;19;100;1;5;6;33;7;0;1;4;0;2
31;21;Aranarache - Aranaratxe;1-001 -U;66;0;0;66;47;0;47;0;1;13;9;2;16;0;0;1;5;0;0;0;0;0;0
31;23;Aranguren;1-001 -A;537;0;0;537;419;0;419;11;12;63;97;36;50;2;11;10;87;16;1;6;6;2;9
31;23;Aranguren;1-001 -B;644;0;0;644;480;0;480;4;15;89;117;39;43;3;22;25;81;23;0;5;3;4;7
31;23;Aranguren;1-001 -C;551;0;0;551;426;0;426;4;13;68;118;49;29;4;14;12;67;20;1;9;11;3;4
31;23;Aranguren;1-002 -A;449;0;0;449;366;0;366;5;9;90;88;13;75;1;15;9;40;11;3;3;2;1;1
31;23;Aranguren;1-002 -B;585;0;0;585;464;0;464;4;15;74;165;35;29;0;11;16;62;36;1;8;5;1;2
31;23;Aranguren;1-003 -A;739;0;0;739;582;0;582;2;12;105;181;54;58;3;17;24;78;28;2;4;6;3;5
31;23;Aranguren;1-003 -B;773;0;0;773;627;0;627;2;14;115;180;57;50;2;30;22;102;34;1;4;10;2;2
31;23;Aranguren;1-004 -A;669;0;0;669;513;0;513;3;22;94;178;37;23;4;17;22;62;31;2;11;1;3;3
31;23;Aranguren;1-004 -B;538;0;0;538;394;0;394;1;21;64;153;19;20;5;19;13;49;22;0;3;2;0;3
31;23;Aranguren;1-004 -C;598;0;0;598;458;0;458;4;15;77;151;36;33;1;8;19;60;42;1;3;3;0;5
31;23;Aranguren;1-004 -D;581;0;0;581;444;0;444;5;13;54;162;25;29;4;6;21;73;34;2;4;6;3;3
31;24;Arano;1-001 -U;98;0;0;98;66;0;66;0;2;10;6;0;35;0;0;0;11;0;1;0;0;0;1
31;22;Arantza;1-001 -U;530;0;0;530;375;0;375;7;5;118;16;8;197;0;4;6;14;0;0;0;0;0;0
31;26;Aras;1-001 -U;147;0;0;147;113;0;113;2;0;13;19;32;7;5;4;19;8;4;0;0;0;0;0
31;27;Arbizu;1-001 -U;832;0;0;832;595;0;595;10;10;158;37;5;312;2;2;8;40;7;0;0;2;0;2
31;28;Arce - Artzi;1-001 -U;210;0;0;210;141;0;141;0;2;27;30;3;49;0;2;3;21;1;0;1;0;0;2
31;30;Arellano;1-001 -U;145;0;0;145;107;0;107;0;2;22;14;8;32;2;3;5;15;3;0;0;1;0;0
31;31;Areso;1-001 -U;222;0;0;222;154;0;154;0;2;39;19;3;74;0;0;2;11;1;1;0;0;0;2
31;32;Arguedas;1-001 -A;607;0;0;607;470;0;470;24;16;22;117;184;15;1;8;11;53;8;0;1;4;1;5
31;32;Arguedas;1-001 -B;658;0;0;658;506;0;506;36;9;21;131;193;15;1;6;11;60;13;0;2;4;0;4
31;32;Arguedas;2-001 -U;461;0;0;461;331;0;331;28;7;8;94;130;6;0;9;10;34;5;0;0;0;0;0
31;33;Aria;1-001 -U;49;0;0;49;31;0;31;1;0;3;6;0;9;0;3;2;6;1;0;0;0;0;0
31;34;Aribe;1-001 -U;40;0;0;40;31;0;31;0;1;10;7;0;8;0;1;0;3;0;0;0;0;1;0
31;35;Armañanzas;1-001 -U;62;0;0;62;47;0;47;0;4;5;17;9;2;0;1;5;0;1;0;1;0;0;2
31;36;Arróniz;1-001 -A;521;0;0;521;375;0;375;8;11;40;76;84;43;1;26;24;45;9;1;2;0;1;4
31;36;Arróniz;1-001 -B;401;0;0;401;300;0;300;8;6;43;73;61;35;0;20;13;33;3;2;0;2;0;1
31;37;Arruazu;1-001 -U;89;0;0;89;68;0;68;0;0;22;3;0;33;0;0;0;10;0;0;0;0;0;0
31;38;Artajona;1-001 -A;668;0;0;668;519;2;521;11;14;71;180;69;41;2;15;15;68;16;7;5;2;2;3
31;38;Artajona;1-001 -B;684;0;0;684;520;1;521;11;19;72;170;92;51;2;13;18;44;18;2;5;2;0;2
31;39;Artazu;1-001 -U;86;0;0;86;60;0;60;1;0;12;14;9;14;0;2;1;4;1;0;1;1;0;0
31;40;Atez - Atetz;1-001 -U;195;0;0;195;171;0;171;2;6;35;51;6;41;1;2;11;9;6;0;1;0;0;0
31;58;Auritz - Burguete;1-001 -U;218;0;0;218;164;0;164;2;6;29;49;7;35;1;6;1;16;7;5;0;0;0;0
31;41;Ayegui - Aiegi;1-001 -A;823;0;0;823;559;0;559;2;31;89;121;63;71;3;18;20;101;25;0;4;6;0;5
31;41;Ayegui - Aiegi;1-001 -B;761;0;0;761;522;0;522;7;23;75;134;47;87;2;20;16;74;23;1;4;6;0;3
31;42;Azagra;1-001 -A;528;0;0;528;376;0;376;8;12;10;176;119;3;1;4;19;18;2;0;0;0;1;3
31;42;Azagra;1-001 -B;435;0;0;435;337;2;339;12;3;3;162;119;3;0;3;16;11;3;0;0;3;0;1
31;42;Azagra;1-001 -C;435;0;0;435;334;1;335;4;4;4;142;135;0;0;1;24;9;8;0;1;1;0;2
31;42;Azagra;2-001 -A;445;0;0;445;330;0;330;8;5;9;99;155;4;2;0;7;35;2;1;0;0;1;2
31;42;Azagra;2-001 -B;432;0;0;432;310;0;310;3;9;5;83;156;5;1;5;7;22;8;0;1;4;0;1
31;42;Azagra;2-001 -C;452;0;0;452;330;1;331;3;9;5;78;174;8;0;0;10;35;5;0;3;0;0;1
31;43;Azuelo;1-001 -U;38;0;0;38;30;0;30;0;2;14;6;3;0;0;2;2;0;0;0;0;1;0;0
31;44;Bakaiku;1-001 -U;285;0;0;285;227;0;227;5;5;64;27;4;104;0;1;5;11;0;0;1;0;0;0
31;901;Barañain;1-001 -A;466;0;0;466;307;0;307;6;5;47;94;44;24;0;12;14;41;10;2;4;3;1;0
31;901;Barañain;1-001 -B;478;0;0;478;305;0;305;4;8;33;123;39;17;2;14;15;31;11;1;3;3;1;0
31;901;Barañain;1-002 -A;537;0;0;537;348;0;348;1;4;52;91;46;37;1;20;19;55;11;1;4;4;1;1
31;901;Barañain;1-002 -B;492;0;0;492;322;0;322;2;3;61;73;43;24;2;15;22;55;13;2;4;1;1;1
31;901;Barañain;1-003 -A;679;0;0;679;450;0;450;9;7;63;118;57;43;7;17;23;75;15;2;7;2;4;1
31;901;Barañain;1-003 -B;729;0;0;729;510;0;510;17;2;75;118;73;59;1;19;26;88;16;0;8;0;3;5
31;901;Barañain;1-004 -A;565;0;0;565;416;0;416;6;8;74;107;45;51;0;23;12;62;15;1;7;4;0;1
31;901;Barañain;1-004 -B;554;0;0;554;395;0;395;2;9;62;115;40;57;0;17;8;64;8;2;5;2;1;3
31;901;Barañain;1-004 -C;510;0;0;510;379;0;379;3;2;78;124;35;36;1;15;7;54;7;3;4;5;4;1
31;901;Barañain;1-005 -A;601;0;0;601;419;0;419;2;6;74;104;45;50;2;16;10;74;20;3;5;3;1;4
31;901;Barañain;1-005 -B;658;0;0;658;467;0;467;5;8;60;99;49;65;2;23;17;92;22;4;7;5;3;6
31;901;Barañain;1-005 -C;603;0;0;603;428;0;428;5;8;75;86;57;56;2;11;13;88;11;0;4;9;0;3
31;901;Barañain;1-006 -A;686;0;0;686;469;0;469;9;5;76;82;69;59;3;22;25;87;19;2;1;5;3;2
31;901;Barañain;1-006 -B;658;0;0;658;440;0;440;3;5;58;73;60;54;3;36;14;106;14;0;5;6;1;2
31;901;Barañain;1-007 -A;724;0;0;724;546;0;546;7;4;94;111;69;97;5;38;7;92;11;0;3;0;2;6
31;901;Barañain;1-007 -B;758;0;0;758;587;0;587;3;3;117;124;54;100;6;44;13;94;12;1;6;2;2;6
31;901;Barañain;1-008 -A;602;0;0;602;425;0;425;5;10;100;91;41;51;0;21;15;60;18;4;4;2;2;1
31;901;Barañain;1-008 -B;567;0;0;567;416;0;416;5;8;92;98;29;45;4;20;11;76;20;1;3;1;2;1
31;901;Barañain;1-008 -C;586;0;0;586;392;0;392;2;7;80;85;40;51;5;17;9;66;20;3;1;6;0;0
31;901;Barañain;1-009 -A;438;4;0;442;270;0;270;1;3;49;47;30;44;2;11;13;55;6;0;1;4;2;2
31;901;Barañain;1-009 -B;483;0;0;483;339;0;339;1;6;66;52;46;52;3;12;12;65;6;0;3;7;2;6
31;901;Barañain;1-010 -A;621;0;0;621;450;0;450;2;10;86;84;54;68;2;28;6;80;12;3;4;2;2;7
31;901;Barañain;1-010 -B;620;0;0;620;475;0;475;5;14;94;76;44;88;4;35;6;91;5;2;7;1;3;0
31;901;Barañain;1-010 -C;555;0;0;555;395;0;395;4;7;70;57;40;68;0;31;10;89;10;1;0;4;0;4
31;901;Barañain;1-011 -A;732;0;0;732;505;0;505;7;6;103;156;39;44;2;21;23;71;21;2;3;5;0;2
31;901;Barañain;1-011 -B;652;0;0;652;461;0;461;3;10;80;134;34;58;3;20;19;64;27;1;3;1;2;2
31;45;Barásoain;1-001 -U;505;0;0;505;376;0;376;4;20;59;82;39;33;4;16;11;84;14;1;3;3;0;3
31;46;Barbarin;1-001 -U;62;0;0;62;38;0;38;0;2;1;22;5;2;0;0;4;1;1;0;0;0;0;0
31;47;Bargota;1-001 -U;267;0;0;267;171;0;171;3;4;25;48;28;28;0;2;18;9;4;0;2;0;0;0
31;48;Barillas;1-001 -U;165;0;0;165;122;0;122;2;0;4;74;7;0;0;0;12;16;6;0;0;0;0;1
31;49;Basaburua;1-001 -U;709;0;0;709;505;0;505;1;5;95;57;10;262;0;9;8;51;0;0;1;2;2;2
31;50;Baztan;1-001 -A;378;0;0;378;282;0;282;3;4;57;46;3;140;0;10;5;11;1;1;0;1;0;0
31;50;Baztan;1-001 -B;464;0;0;464;339;0;339;7;8;78;88;7;96;1;14;9;25;3;1;2;0;0;0
31;50;Baztan;1-001 -C;376;0;0;376;270;0;270;9;0;83;51;7;84;0;15;4;14;1;1;0;1;0;0
31;50;Baztan;2-001 -A;532;0;0;532;385;0;385;3;11;94;114;15;92;1;7;11;28;6;0;1;2;0;0
31;50;Baztan;2-001 -B;437;0;0;437;322;0;322;7;8;96;81;12;80;0;5;4;22;4;0;0;2;0;1
31;50;Baztan;2-001 -C;517;0;0;517;348;0;348;5;4;93;92;10;90;2;9;5;29;5;0;2;2;0;0
31;50;Baztan;2-002 -A;558;0;0;558;401;0;401;6;8;98;90;19;98;1;4;20;41;10;0;1;4;0;1
31;50;Baztan;2-002 -B;714;0;0;714;496;0;496;4;11;130;110;25;122;1;6;13;53;8;3;5;3;1;1
31;50;Baztan;2-002 -C;444;0;0;444;328;0;328;1;9;99;77;9;97;0;13;6;12;1;1;1;1;0;1
31;50;Baztan;3-001 -U;642;0;0;642;456;0;456;8;7;114;120;15;117;2;9;10;43;6;0;2;0;1;2
31;50;Baztan;3-002 -A;203;0;0;203;147;0;147;4;6;37;30;1;52;0;4;2;9;0;0;1;1;0;0
31;50;Baztan;3-002 -B;261;0;0;261;190;0;190;2;6;52;59;2;52;0;2;4;7;1;0;0;0;2;1
31;50;Baztan;3-002 -C;539;0;0;539;422;0;422;10;10;108;88;13;135;1;24;11;17;1;1;0;1;0;2
31;137;Beintza-Labaien;1-001 -U;207;0;0;207;113;0;113;1;1;34;23;2;31;1;1;5;5;3;0;0;2;1;3
31;51;Beire;1-001 -U;250;0;0;250;165;0;165;1;5;13;51;31;25;3;3;5;19;7;0;0;1;0;1
31;52;Belascoáin;1-001 -U;89;0;0;89;60;0;60;1;0;7;17;2;3;2;7;5;10;4;0;1;0;0;1
31;250;Bera;1-001 -A;761;0;0;761;523;0;523;9;3;134;73;32;163;1;9;12;67;12;3;0;1;1;3
31;250;Bera;1-001 -B;773;0;0;773;494;0;494;2;7;116;51;26;148;3;6;14;90;19;4;1;2;1;4
31;250;Bera;1-002 -U;750;0;0;750;496;0;496;2;7;143;52;14;167;3;3;5;84;11;2;2;0;0;1
31;250;Bera;2-001 -U;548;0;0;548;371;0;371;5;7;111;24;13;140;1;4;2;47;7;2;2;4;0;2
31;53;Berbinzana;1-001 -U;539;0;0;539;391;0;391;7;7;53;132;49;50;4;2;18;49;12;0;3;0;0;5
31;905;Beriáin;1-001 -A;637;0;0;637;465;0;465;6;8;61;81;86;22;4;16;24;112;18;2;3;7;5;10
31;905;Beriáin;1-001 -B;681;0;0;681;465;0;465;6;5;49;65;104;32;5;21;20;115;12;3;4;8;6;10
31;905;Beriáin;1-002 -A;798;0;0;798;575;0;575;7;10;54;186;62;34;2;18;31;114;24;0;6;18;3;6
31;905;Beriáin;1-002 -B;735;0;0;735;502;0;502;6;3;61;76;85;48;4;26;30;108;18;2;4;19;3;9
31;902;Berrioplano - Berriobeiti;1-001 -A;542;0;0;542;403;0;403;2;9;75;94;32;73;1;14;9;63;18;1;4;6;0;2
31;902;Berrioplano - Berriobeiti;1-001 -B;542;0;0;542;334;0;334;2;11;72;77;24;49;2;10;7;45;17;1;3;4;9;1
31;902;Berrioplano - Berriobeiti;1-001 -C;575;0;0;575;421;0;421;7;12;107;81;26;50;2;17;13;67;25;0;8;5;0;1
31;902;Berrioplano - Berriobeiti;1-002 -A;570;0;0;570;417;0;417;3;23;86;69;35;42;1;17;11;77;36;3;7;5;0;2
31;902;Berrioplano - Berriobeiti;1-002 -B;635;0;0;635;416;0;416;5;8;79;80;38;70;0;19;14;65;23;2;6;4;1;2
31;902;Berrioplano - Berriobeiti;1-002 -C;622;0;0;622;414;0;414;4;6;92;75;35;42;1;27;14;80;23;2;6;4;1;2
31;902;Berrioplano - Berriobeiti;1-003 -A;395;0;0;395;287;0;287;2;1;55;77;15;45;2;13;10;41;19;0;3;1;0;3
31;902;Berrioplano - Berriobeiti;1-003 -B;398;0;0;398;285;0;285;4;5;50;74;24;33;0;15;14;43;14;0;5;2;0;2
31;903;Berriozar;1-001 -A;622;0;0;622;429;1;430;4;5;85;80;45;107;1;18;7;63;7;0;1;0;1;6
31;903;Berriozar;1-001 -B;750;0;0;750;504;2;506;4;7;81;88;81;130;1;19;8;70;13;0;1;0;1;2
31;903;Berriozar;1-002 -A;530;0;0;530;336;2;338;2;4;25;45;75;91;3;25;6;50;8;0;1;1;1;1
31;903;Berriozar;1-002 -B;518;0;0;518;295;2;297;1;3;35;50;51;65;1;23;6;47;7;1;1;4;0;2
31;903;Berriozar;1-003 -A;713;0;0;713;463;2;465;8;4;48;61;66;126;1;29;11;83;12;0;4;4;3;5
31;903;Berriozar;1-003 -B;691;0;0;691;453;3;456;7;3;57;70;89;100;2;29;7;77;13;0;1;0;0;1
31;903;Berriozar;1-005 -A;566;0;0;566;371;2;373;5;10;53;56;49;76;2;17;6;82;11;1;1;3;0;1
31;903;Berriozar;1-005 -B;649;0;0;649;421;3;424;3;4;70;47;70;73;1;25;3;103;14;1;4;4;0;2
31;903;Berriozar;1-006 -A;772;0;0;772;529;2;531;5;7;67;77;63;122;2;47;10;107;12;1;1;8;0;2
31;903;Berriozar;1-006 -B;757;0;0;757;510;1;511;1;3;80;65;60;120;0;30;4;120;17;0;5;4;0;2
31;54;Bertizarana;1-001 -U;463;0;0;463;300;0;300;9;10;69;38;14;121;2;3;3;24;5;0;2;0;0;0
31;55;Betelu;1-001 -U;259;0;0;259;194;0;194;4;4;75;11;7;63;2;0;4;19;1;3;0;0;1;0
31;253;Bidaurreta;1-001 -U;121;0;0;121;114;0;114;0;1;33;8;8;44;0;3;0;16;0;0;0;1;0;0
31;56;Biurrun-Olcoz;1-001 -U;180;0;0;180;129;0;129;2;5;15;29;4;26;2;6;6;25;3;1;0;3;0;2
31;57;Buñuel;1-001 -A;400;0;0;400;278;0;278;6;3;13;139;70;1;0;3;11;19;7;0;3;1;0;2
31;57;Buñuel;1-001 -B;427;0;0;427;325;2;327;6;8;14;149;94;3;3;2;17;21;6;1;1;1;0;1
31;57;Buñuel;2-001 -A;488;0;0;488;375;0;375;10;13;11;179;102;3;1;6;6;29;9;5;0;1;0;0
31;57;Buñuel;2-001 -B;488;0;0;488;381;2;383;7;7;10;177;126;3;0;0;7;41;5;0;0;0;0;0
31;59;Burgui - Burgi;1-001 -U;192;0;0;192;136;0;136;1;3;18;28;24;45;0;3;1;10;1;2;0;0;0;0
31;60;Burlada - Burlata;1-001 -A;610;0;0;610;441;0;441;7;12;87;61;55;87;5;13;16;74;7;2;4;5;0;6
31;60;Burlada - Burlata;1-001 -B;688;0;0;688;488;0;488;5;10;92;85;48;97;1;27;16;80;11;1;3;5;0;7
31;60;Burlada - Burlata;1-001 -C;583;0;0;583;410;0;410;2;4;74;62;53;60;4;19;12;88;13;4;4;6;0;5
31;60;Burlada - Burlata;1-002 -A;498;0;0;498;320;0;320;6;3;58;76;23;45;1;16;17;57;10;1;3;3;0;1
31;60;Burlada - Burlata;1-002 -B;527;0;0;527;314;0;314;1;2;42;77;47;40;2;15;14;56;7;0;2;4;2;3
31;60;Burlada - Burlata;1-003 -A;477;0;0;477;306;0;306;2;3;52;61;49;35;1;19;8;58;8;2;3;4;0;1
31;60;Burlada - Burlata;1-003 -B;498;0;0;498;313;0;313;3;4;53;60;56;47;1;15;9;47;7;2;2;3;0;4
31;60;Burlada - Burlata;1-004 -A;557;0;0;557;343;0;343;2;4;46;91;50;50;1;12;12;58;11;1;3;1;1;0
31;60;Burlada - Burlata;1-004 -B;530;0;0;530;379;0;379;3;6;76;90;30;64;0;14;8;66;6;1;4;6;0;5
31;60;Burlada - Burlata;1-005 -A;661;0;0;661;501;0;501;7;7;101;88;55;103;2;17;11;85;7;4;7;4;1;2
31;60;Burlada - Burlata;1-005 -B;715;0;0;715;491;0;491;2;10;103;88;74;70;0;11;12;79;19;2;7;8;1;5
31;60;Burlada - Burlata;1-005 -C;594;0;0;594;416;0;416;4;9;80;61;53;65;1;20;14;76;10;0;6;7;1;9
31;60;Burlada - Burlata;2-001 -A;502;0;0;502;320;0;320;3;9;55;49;40;53;3;22;12;55;8;4;1;3;1;2
31;60;Burlada - Burlata;2-001 -B;531;0;0;531;336;0;336;8;4;49;73;40;67;0;10;22;46;5;1;3;4;1;3
31;60;Burlada - Burlata;2-002 -A;424;0;0;424;268;0;268;2;1;44;59;34;43;3;11;9;51;3;2;2;3;0;1
31;60;Burlada - Burlata;2-002 -B;428;0;0;428;266;0;266;1;8;42;51;37;28;1;7;7;67;4;1;4;4;0;4
31;60;Burlada - Burlata;2-003 -A;421;0;0;421;269;0;269;1;2;52;41;32;56;2;15;3;46;5;2;3;2;0;7
