Cód Cir;Cód Con;Concello;;Censo;Certif Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;BNG;ECG;ESCANOS EN BRANCO;PACMA;PODEMOS-ALIANZA VERDE;PP;PSdeG-PSOE;PUM+J;SUMAR GALICIA;VOX
36;009;A Cañiza;;4335;0;4335;2720;26;6;1615;2694;2688;625;4;6;10;6;1551;390;1;35;60
36;017;A Estrada;;17067;6;17073;12072;131;87;5001;11941;11854;3637;6;16;31;15;6431;1400;10;151;157
36;023;A Guarda;;8159;0;8159;5683;56;30;2476;5627;5597;2125;12;11;17;20;2583;631;6;99;93
36;901;A Illa de Arousa;;4140;0;4140;3065;54;19;1075;3011;2992;1055;2;5;15;6;1083;700;2;66;58
36;025;A Lama;;2211;0;2211;1297;5;4;914;1292;1288;283;0;0;4;1;834;97;2;12;55
36;020;Agolada;;2081;0;2081;1544;22;5;537;1522;1517;361;0;6;0;3;961;162;2;9;13
36;001;Arbo;;2408;0;2408;1767;15;5;641;1752;1747;399;0;0;6;7;1042;173;65;26;29
36;034;As Neves;;3192;0;3192;2257;32;7;935;2225;2218;694;0;3;12;7;1134;271;4;55;38
36;003;Baiona;;10276;18;10294;7001;76;50;3293;6925;6875;2103;1;7;31;25;3447;863;8;226;164
36;002;Barro;;3058;0;3058;2121;19;19;937;2102;2083;620;1;4;2;0;1135;222;1;28;70
36;004;Bueu;;10116;0;10116;6671;67;62;3445;6604;6542;2611;3;12;25;9;3028;557;4;153;140
36;005;Caldas de Reis;;8031;1;8032;5568;67;32;2464;5501;5469;1639;2;11;14;5;2762;847;4;80;105
36;006;Cambados;;11465;0;11465;8243;98;52;3222;8145;8093;2502;4;3;24;16;4271;929;4;174;166
36;007;Campo Lameiro;;1539;0;1539;1058;16;8;481;1042;1034;244;0;1;1;2;627;139;1;4;15
36;008;Cangas;;22281;33;22314;14812;135;113;7502;14677;14564;6747;10;26;59;60;5434;1417;16;521;274
36;010;Catoira;;2800;0;2800;2060;23;12;740;2037;2025;897;3;5;8;3;789;247;3;36;34
36;902;Cerdedo-Cotobade;;4966;0;4966;3591;49;21;1375;3542;3521;882;2;6;6;4;1983;512;1;60;65
36;013;Covelo;;2197;10;2207;1299;9;6;908;1290;1284;416;0;1;5;3;660;137;3;24;35
36;014;Crecente;;1805;0;1805;1315;10;4;490;1305;1301;250;0;3;6;2;864;139;0;25;12
36;015;Cuntis;;3921;1;3922;2745;32;33;1177;2713;2680;812;0;4;3;0;1342;446;2;35;36
36;016;Dozón;;954;0;954;700;8;4;254;692;688;112;0;0;1;0;521;38;0;6;10
36;018;Forcarei;;2831;0;2831;1926;23;12;905;1903;1891;459;0;2;3;0;1082;298;2;11;34
36;019;Fornelos de Montes;;1458;0;1458;914;7;6;544;907;901;181;4;1;4;0;349;312;1;16;33
36;021;Gondomar;;12623;0;12623;8337;105;67;4286;8232;8165;2600;4;14;33;36;3839;1173;13;238;215
36;024;Lalín;;15995;0;15995;11806;166;82;4189;11640;11558;2777;4;20;29;11;7403;974;12;117;211
36;026;Marín;;19922;17;19939;12498;138;125;7441;12360;12235;3848;6;20;55;41;6115;1535;8;232;375
36;027;Meaño;;4387;0;4387;3135;28;13;1252;3107;3094;783;1;5;6;3;1860;313;0;45;78
36;028;Meis;;4006;0;4006;2907;24;18;1099;2883;2865;716;1;3;4;2;1577;467;2;30;63
36;029;Moaña;;16272;9;16281;11096;146;104;5185;10950;10846;5087;5;21;39;49;4010;1081;9;306;239
36;030;Mondariz;;3868;1;3869;2628;34;29;1241;2594;2565;835;0;5;11;5;1190;324;1;138;56
36;031;Mondariz-Balneario;;588;0;588;426;5;4;162;421;417;179;0;1;1;1;184;30;0;8;13
36;032;Moraña;;3460;0;3460;2553;43;16;907;2510;2494;671;2;2;3;4;1398;319;3;32;60
36;033;Mos;;12377;0;12377;8841;129;66;3536;8712;8646;3204;9;14;32;21;3816;1179;4;183;184
36;035;Nigrán;;15036;1;15037;10057;126;75;4980;9931;9856;3023;8;18;40;47;4804;1415;6;242;253
36;022;O Grove;;9041;0;9041;5837;88;57;3204;5749;5692;2499;3;9;27;20;1974;793;5;221;141
36;039;O Porriño;;16150;0;16150;10822;160;84;5328;10662;10578;3686;7;13;56;43;5139;1132;11;278;213
36;048;O Rosal;;5472;0;5472;3750;70;32;1722;3680;3648;1505;1;6;13;10;1608;348;2;86;69
36;036;Oia;;2576;0;2576;1865;25;6;711;1840;1834;541;2;4;6;6;937;251;0;50;37
36;037;Pazos de Borbén;;2557;0;2557;1720;23;12;837;1697;1685;624;2;4;17;0;789;167;1;41;40
36;041;Poio;;14102;2;14104;9248;73;76;4856;9175;9099;2644;6;10;47;20;4896;1072;8;176;220
36;043;Ponte Caldelas;;4735;0;4735;3069;29;17;1666;3040;3023;945;2;4;13;9;1489;431;1;45;84
36;042;Ponteareas;;18603;18;18621;12288;178;96;6333;12110;12014;4809;12;18;53;40;4990;1426;15;368;283
36;044;Pontecesures;;2611;0;2611;1784;15;10;827;1769;1759;668;1;1;2;6;850;177;1;21;32
36;038;Pontevedra;;66791;7;66798;45554;381;439;21244;45173;44734;15571;54;104;218;117;20313;6256;55;1046;1000
36;040;Portas;;2410;0;2410;1696;25;11;714;1671;1660;467;0;6;3;0;919;199;1;23;42
36;045;Redondela;;24420;3;24423;16496;180;108;7927;16316;16208;6512;14;34;81;34;5986;2744;19;425;359
36;046;Ribadumia;;4173;0;4173;3070;45;21;1103;3025;3004;767;2;8;13;9;1705;377;1;42;80
36;047;Rodeiro;;2047;0;2047;1482;10;7;565;1472;1465;286;1;1;0;1;878;271;0;7;20
36;049;Salceda de Caselas;;7271;0;7271;5085;76;33;2186;5009;4976;1821;2;12;22;16;2367;445;10;141;140
36;050;Salvaterra de Miño;;8077;3;8080;5498;80;43;2582;5418;5375;2070;5;13;23;6;2152;842;4;109;151
36;051;Sanxenxo;;14795;2;14797;9928;101;78;4869;9827;9749;2862;5;14;28;20;5366;1100;3;122;229
36;052;Silleda;;7228;0;7228;5102;72;30;2126;5030;5000;1288;3;8;8;11;2770;750;1;63;98
36;053;Soutomaior;;6040;0;6040;4273;41;27;1767;4232;4205;1916;3;5;13;11;1736;339;2;76;104
36;054;Tomiño;;11342;1;11343;7579;79;66;3764;7500;7434;3049;8;12;21;20;3292;685;11;126;210
36;055;Tui;;13813;3;13816;9550;129;82;4266;9421;9339;3223;3;24;33;16;4659;968;7;141;265
36;056;Valga;;4830;0;4830;3511;39;19;1319;3472;3453;990;2;7;9;7;2041;295;1;47;54
36;057;Vigo;;236025;818;236843;154612;1153;1484;82231;153459;151975;56820;104;310;833;587;54010;30781;163;4757;3610
36;059;Vila de Cruces;;4366;0;4366;2992;36;15;1374;2956;2941;794;1;4;5;5;1807;210;2;43;70
36;058;Vilaboa;;4990;0;4990;3180;46;31;1810;3134;3103;1006;2;4;12;8;1411;552;3;49;56
36;060;Vilagarcía de Arousa;;30666;0;30666;19970;200;132;10696;19770;19638;6675;9;32;96;83;8718;3054;20;500;451
36;061;Vilanova de Arousa;;8554;0;8554;6120;97;50;2434;6023;5973;1397;3;11;16;3;3722;561;8;111;141
36;990;Residentes ausentes-Pontevedra;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total;;;;773510;954;774464;520794;5375;4262;253670;515419;511157;178812;351;934;2208;1522;226633;75963;555;12537;11642
